Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,2.000,2.00,0.000,0.00,1.00,1.00,0.00,1.00,100.00%,0.00
$100 for $110,10026,Credits,1.000,100.00,0.000,0.00,0.00,100.00,0.00,100.00,100.00%,0.00
$2 Add on,AO2,Add Ons,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
$200 for $230,10027,Credits,4.000,800.00,0.000,0.00,0.00,800.00,0.00,800.00,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,117.000,1383.30,0.000,0.00,80.24,1303.06,0.00,1303.06,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,7.000,56.00,0.000,0.00,0.80,55.20,0.00,55.20,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,150.000,907.10,1.000,6.00,35.17,865.93,0.00,865.93,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,52.000,158.70,0.000,0.00,5.76,152.94,0.00,152.94,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,118.000,713.00,0.000,0.00,24.41,688.59,0.00,688.59,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,33.000,99.00,0.000,0.00,10.50,88.50,0.00,88.50,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,3.000,26.00,0.000,0.00,0.80,25.20,0.00,25.20,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,145.000,435.00,0.000,0.00,14.70,420.30,0.00,420.30,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,446.000,2680.00,1.000,6.00,70.90,2603.10,0.00,2603.10,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,20.000,160.00,0.000,0.00,8.80,151.20,0.00,151.20,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,20.000,200.00,0.000,0.00,6.00,194.00,0.00,194.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,106.000,424.00,0.000,0.00,17.80,406.20,0.00,406.20,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,439.000,3075.70,0.000,0.00,97.47,2978.23,0.00,2978.23,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,31.000,94.00,0.000,0.00,0.60,93.40,0.00,93.40,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,3.000,24.00,0.000,0.00,0.80,23.20,0.00,23.20,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,86.000,519.00,0.000,0.00,10.80,508.20,0.00,508.20,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,77.000,235.00,0.000,0.00,10.20,224.80,0.00,224.80,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,22.000,178.00,0.000,0.00,5.60,172.40,0.00,172.40,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,297.000,1787.70,3.000,18.00,59.80,1709.90,0.00,1709.90,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,38.000,152.00,0.000,0.00,6.60,145.40,0.00,145.40,100.00%,0.00
A6. Tom Yum Gung (Large),A6L,Spicy Mains,2.000,20.00,0.000,0.00,1.00,19.00,0.00,19.00,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,132.000,925.00,2.000,14.00,29.15,881.85,0.00,881.85,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,41.000,125.00,0.000,0.00,5.40,119.60,0.00,119.60,100.00%,0.00
A7. Tom Yum Pork (Large),A7L,Spicy Mains,4.000,33.00,0.000,0.00,0.80,32.20,0.00,32.20,100.00%,0.00
A7. Tom Yum Pork (Regular),A7R,Spicy Mains,108.000,650.00,0.000,0.00,17.71,632.29,0.00,632.29,100.00%,0.00
A8. Thai Stewed Chicken Soup (Large),A8L,Non Spicy Mains,3.000,24.00,0.000,0.00,0.80,23.20,0.00,23.20,100.00%,0.00
A8. Thai Stewed Chicken Soup (Tasting),A8T,Non Spicy Mains,46.000,138.70,1.000,3.00,1.95,133.75,0.00,133.75,100.00%,0.00
A8. Thai Stewed Chicken Soup (Regular),A8R,Non Spicy Mains,109.000,655.70,0.000,0.00,13.20,642.50,0.00,642.50,100.00%,0.00
A9. Thai Collagen Porridge (Tasting),A9T,Non Spicy Mains,29.000,89.70,0.000,0.00,7.70,82.00,0.00,82.00,100.00%,0.00
