Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,17.000,17.00,0.000,0.00,0.30,16.70,0.00,16.70,100.00%,0.00
$2 Add on,AO2,Add Ons,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
A1. Premium Tom Yum (Delivery),10013,Spicy Mains,1.000,19.00,0.000,0.00,1.48,17.52,0.00,17.52,100.00%,0.00
A1. Premium Tom Yum (Normal),10012,Spicy Mains,66.000,783.20,0.000,0.00,34.32,748.88,0.00,748.88,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.80,15.20,0.00,15.20,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,83.000,500.70,0.000,0.00,12.00,488.70,0.00,488.70,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,30.000,90.00,0.000,0.00,7.80,82.20,0.00,82.20,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,3.000,24.00,0.000,0.00,1.60,22.40,0.00,22.40,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,49.000,300.00,0.000,0.00,17.91,282.09,0.00,282.09,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,11.000,33.00,0.000,0.00,1.20,31.80,0.00,31.80,100.00%,0.00
A2. Creamy Tom Yum (Delivery),10016,Spicy Mains,1.000,9.70,0.000,0.00,0.75,8.95,0.00,8.95,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,12.000,96.00,0.000,0.00,2.40,93.60,0.00,93.60,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,137.000,825.70,0.000,0.00,30.80,794.90,0.00,794.90,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,35.000,106.50,0.000,0.00,1.80,104.70,0.00,104.70,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Delivery),10017,Spicy Mains,1.000,10.50,0.000,0.00,0.82,9.68,0.00,9.68,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,13.000,130.70,0.000,0.00,4.00,126.70,0.00,126.70,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,163.000,1151.90,0.000,0.00,24.32,1127.58,0.00,1127.58,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,34.000,136.70,0.000,0.00,3.60,133.10,0.00,133.10,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,1.000,8.00,0.000,0.00,0.80,7.20,0.00,7.20,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,35.000,210.00,0.000,0.00,5.40,204.60,0.00,204.60,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,6.000,18.00,0.000,0.00,0.00,18.00,0.00,18.00,100.00%,0.00
A5. Thai Bak Chor Mee (Delivery),10019,Spicy Mains,1.000,9.70,0.000,0.00,0.76,8.94,0.00,8.94,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,3.000,24.00,1.000,8.00,0.80,15.20,0.00,15.20,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,118.000,711.70,1.000,6.00,14.47,691.23,0.00,691.23,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,19.000,60.00,0.000,0.00,0.60,59.40,0.00,59.40,100.00%,0.00
A6. Tom Yum Gung (Delivery),10020,Spicy Mains,1.000,10.50,0.000,0.00,2.10,8.40,0.00,8.40,100.00%,0.00
A6. Tom Yum Gung (Large),A6L,Spicy Mains,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,58.000,408.00,1.000,7.00,16.80,384.20,0.00,384.20,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,13.000,52.00,0.000,0.00,1.60,50.40,0.00,50.40,100.00%,0.00
A7. Tom Yum Pork (Large),A7L,Spicy Mains,4.000,32.00,0.000,0.00,1.60,30.40,0.00,30.40,100.00%,0.00
A7. Tom Yum Pork (Regular),A7R,Spicy Mains,54.000,326.00,1.000,6.00,8.00,312.00,0.00,312.00,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,21.000,63.00,0.000,0.00,4.50,58.50,0.00,58.50,100.00%,0.00
A8. Thai Stewed Chicken Soup (Delivery),10022,Non Spicy Mains,1.000,9.00,0.000,0.00,0.70,8.30,0.00,8.30,100.00%,0.00
A8. Thai Stewed Chicken Soup (Large),A8L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
A8. Thai Stewed Chicken Soup (Regular),A8R,Non Spicy Mains,40.000,242.70,0.000,0.00,5.40,237.30,0.00,237.30,100.00%,0.00
A8. Thai Stewed Chicken Soup (Tasting),A8T,Non Spicy Mains,8.000,24.00,0.000,0.00,1.20,22.80,0.00,22.80,100.00%,0.00
A9. Thai Collagen Porridge (Delivery),10023,Non Spicy Mains,1.000,9.00,0.000,0.00,0.70,8.30,0.00,8.30,100.00%,0.00
A9. Thai Collagen Porridge (Large),A9L,Non Spicy Mains,4.000,32.00,0.000,0.00,1.60,30.40,0.00,30.40,100.00%,0.00
A9. Thai Collagen Porridge (Regular),A9R,Non Spicy Mains,53.000,321.00,0.000,0.00,12.60,308.40,0.00,308.40,100.00%,0.00
A9. Thai Collagen Porridge (Tasting),A9T,Non Spicy Mains,15.000,47.00,0.000,0.00,1.30,45.70,0.00,45.70,100.00%,0.00
B1. Mixed Platter (a. 1 Pax),B1a,Sides 1,27.000,189.00,0.000,0.00,2.10,186.90,0.00,186.90,100.00%,0.00
B1. Mixed Platter (b. 2 Pax),B1b,Sides 1,16.000,192.00,0.000,0.00,7.20,184.80,0.00,184.80,100.00%,0.00
B1. Mixed Platter (c. 3 Pax),B1c,Sides 1,7.000,119.00,0.000,0.00,3.40,115.60,0.00,115.60,100.00%,0.00
B10. Basil Pork (Delivery),10053,Sides 2,2.000,18.00,0.000,0.00,2.50,15.50,0.00,15.50,100.00%,0.00
B10. Basil Pork (Normal),10029,Sides 2,11.000,63.80,0.000,0.00,1.74,62.06,0.00,62.06,100.00%,0.00
B11. Stewed Chicken Feet (Normal),10031,Sides 1,7.000,26.60,0.000,0.00,0.76,25.84,0.00,25.84,100.00%,0.00
B13. Spring Rolls 3 Pc,B13,Sides 2,6.000,22.80,0.000,0.00,0.00,22.80,0.00,22.80,100.00%,0.00
B14. Seasonal Vegetables,B14,Sides 2,2.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
B2. Pork Skewers (Mu Ping) (a. 3 Pcs),B2a,Sides 1,12.000,69.60,0.000,0.00,1.94,67.66,0.00,67.66,100.00%,0.00
B2. Pork Skewers (Mu Ping) (b. 1 Pc),B2b,Sides 1,15.000,30.00,0.000,0.00,0.80,29.20,0.00,29.20,100.00%,0.00
B3. Thai Fried Wings (Normal),10035,Sides 2,14.000,53.20,0.000,0.00,1.90,51.30,0.00,51.30,100.00%,0.00
B4. Grilled Pork Cheek (Delivery (L)),10041,Sides 1,1.000,11.00,0.000,0.00,0.86,10.14,0.00,10.14,100.00%,0.00
B4. Grilled Pork Cheek (Large),B4b,Sides 1,12.000,90.00,0.000,0.00,10.76,79.24,0.00,79.24,100.00%,0.00
B4. Grilled Pork Cheek (Small),B4a,Sides 1,32.000,144.00,0.000,0.00,8.55,135.45,0.00,135.45,100.00%,0.00
B5. Lemongrass Chicken (a. Small),B5a,Sides 1,14.000,56.00,1.000,4.00,1.20,50.80,0.00,50.80,100.00%,0.00
B5. Lemongrass Chicken (b. Large),B5b,Sides 1,2.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
B6. Vermicelli Salad (Normal),10045,Sides 2,7.000,35.00,0.000,0.00,1.00,34.00,0.00,34.00,100.00%,0.00
B7. Papaya Salad (Normal),10047,Sides 2,17.000,85.00,0.000,0.00,3.00,82.00,0.00,82.00,100.00%,0.00
B8. Spicy Pork Salad (Normal),10050,Sides 2,2.000,11.60,0.000,0.00,1.94,9.66,0.00,9.66,100.00%,0.00
B9. Spicy Pork Slice with Lime (Normal),10052,Sides 2,7.000,40.60,0.000,0.00,1.16,39.44,0.00,39.44,100.00%,0.00
Basil Pork With Rice,10007,Sides 2,75.000,515.40,0.000,0.00,13.02,502.38,0.00,502.38,100.00%,0.00
C1. Aurora (Mini),C1M,Cold Drinks,11.000,30.80,0.000,0.00,0.56,30.24,0.00,30.24,100.00%,0.00
C1. Aurora (Regular),C1R,Cold Drinks,28.000,106.40,0.000,0.00,1.90,104.50,0.00,104.50,100.00%,0.00
C10. Thai Iced Lemon Tea (Regular),C10R,Cold Drinks,3.000,9.00,0.000,0.00,0.30,8.70,0.00,8.70,100.00%,0.00
C11. Iced Lime Juice (Mini),C11M,Cold Drinks,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
C11. Iced Lime Juice (Regular),C11R,Cold Drinks,4.000,12.00,0.000,0.00,0.30,11.70,0.00,11.70,100.00%,0.00
C13. Thai Pink Milk (Mini),C13M,Cold Drinks,3.000,6.00,0.000,0.00,0.20,5.80,0.00,5.80,100.00%,0.00
C13. Thai Pink Milk (Regular),C13R,Cold Drinks,2.000,6.00,0.000,0.00,0.30,5.70,0.00,5.70,100.00%,0.00
C14. Hot Thai Tea (Normal),10061,Hot Drinks,18.000,32.40,0.000,0.00,0.90,31.50,0.00,31.50,100.00%,0.00
C15. Hot Thai Black Tea (Normal),10063,Hot Drinks,4.000,7.20,0.000,0.00,0.36,6.84,0.00,6.84,100.00%,0.00
C16. Hot Thai Black Coffee (Normal),10065,Hot Drinks,2.000,3.60,0.000,0.00,0.36,3.24,0.00,3.24,100.00%,0.00
C17. Hot Thai Coffee (Normal),10067,Hot Drinks,15.000,27.00,0.000,0.00,0.00,27.00,0.00,27.00,100.00%,0.00
C18. Hot Thai Milo (Normal),10069,Hot Drinks,3.000,5.40,0.000,0.00,0.00,5.40,0.00,5.40,100.00%,0.00
C19. Hot Thai Lemon Tea (Normal),10071,Hot Drinks,6.000,10.80,0.000,0.00,0.00,10.80,0.00,10.80,100.00%,0.00
C2. Thai Green Tea (Mini),C2M,Cold Drinks,15.000,38.00,0.000,0.00,0.75,37.25,0.00,37.25,100.00%,0.00
