Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,5.000,5.00,0.000,0.00,0.20,4.80,0.00,4.80,100.00%,0.00
$2 Add on,AO2,Add Ons,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,111.000,1313.80,0.000,0.00,65.10,1248.70,0.00,1248.70,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,6.000,48.00,0.000,0.00,1.60,46.40,0.00,46.40,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,119.000,718.00,0.000,0.00,15.00,703.00,0.00,703.00,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,39.000,122.00,0.000,0.00,4.50,117.50,0.00,117.50,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,22.000,67.00,0.000,0.00,7.90,59.10,0.00,59.10,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,85.000,516.00,0.000,0.00,20.50,495.50,0.00,495.50,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,5.000,40.00,0.000,0.00,0.00,40.00,0.00,40.00,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,381.000,2288.00,1.000,6.00,63.40,2218.60,0.00,2218.60,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,98.000,298.00,0.000,0.00,11.60,286.40,0.00,286.40,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,20.000,160.00,0.000,0.00,3.20,156.80,0.00,156.80,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,29.000,290.00,0.000,0.00,14.00,276.00,0.00,276.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,105.000,425.70,0.000,0.00,12.10,413.60,0.00,413.60,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,430.000,3015.40,0.000,0.00,88.20,2927.20,0.00,2927.20,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,36.000,109.00,0.000,0.00,3.10,105.90,0.00,105.90,100.00%,0.00
