Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,29.000,29.00,0.000,0.00,2.10,26.90,0.00,26.90,100.00%,0.00
$2 Add on,AO2,Add Ons,5.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,145.000,1713.00,17.000,200.60,67.26,1445.14,0.00,1445.14,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,10.000,80.00,2.000,16.00,4.00,60.00,0.00,60.00,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,151.000,917.00,0.000,0.00,30.20,886.80,0.00,886.80,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,44.000,134.00,1.000,3.00,3.00,128.00,0.00,128.00,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,6.000,48.00,0.000,0.00,4.00,44.00,0.00,44.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,58.000,360.20,0.000,0.00,24.35,335.85,0.00,335.85,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,14.000,42.00,0.000,0.00,1.50,40.50,0.00,40.50,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,22.000,180.00,0.000,0.00,3.20,176.80,0.00,176.80,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,346.000,2098.90,1.000,6.00,75.42,2017.48,0.00,2017.48,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,74.000,224.00,2.000,6.00,12.00,206.00,0.00,206.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,17.000,172.00,0.000,0.00,6.20,165.80,0.00,165.80,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,293.000,2061.50,2.000,14.00,76.02,1971.48,0.00,1971.48,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,37.000,148.00,0.000,0.00,3.56,144.44,0.00,144.44,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,8.000,64.00,0.000,0.00,0.80,63.20,0.00,63.20,100.00%,0.00
