Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,39.000,39.00,3.000,3.00,1.69,34.31,0.00,34.31,100.00%,0.00
$2 Add on,AO2,Add Ons,3.000,6.00,0.000,0.00,0.50,5.50,0.00,5.50,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,82.000,970.30,1.000,11.80,44.84,913.66,0.00,913.66,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,6.000,48.00,0.000,0.00,1.60,46.40,0.00,46.40,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,161.000,975.70,0.000,0.00,34.21,941.49,0.00,941.49,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,44.000,134.70,0.000,0.00,3.75,130.95,0.00,130.95,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,3.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,73.000,440.70,0.000,0.00,20.67,420.03,0.00,420.03,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,15.000,45.00,0.000,0.00,2.70,42.30,0.00,42.30,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,23.000,187.00,0.000,0.00,4.10,182.90,0.00,182.90,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,421.000,2552.90,4.000,25.00,135.93,2391.97,0.00,2391.97,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,82.000,248.70,1.000,3.00,16.37,229.33,0.00,229.33,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,14.000,140.70,1.000,10.00,5.00,125.70,0.00,125.70,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,332.000,2330.90,3.000,21.00,91.97,2217.93,0.00,2217.93,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,54.000,216.70,1.000,4.00,8.80,203.90,0.00,203.90,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,4.000,32.00,0.000,0.00,1.60,30.40,0.00,30.40,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,82.000,494.00,0.000,0.00,16.70,477.30,0.00,477.30,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,33.000,99.00,0.000,0.00,2.10,96.90,0.00,96.90,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,11.000,88.00,0.000,0.00,4.00,84.00,0.00,84.00,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,279.000,1681.00,3.000,18.00,59.13,1603.87,0.00,1603.87,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,50.000,152.00,0.000,0.00,4.40,147.60,0.00,147.60,100.00%,0.00
