Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
Sep/30,1208.40,0.00,36.21,1172.19,0.00,1172.19,100.00%,0.00
Sep/29,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Sep/28,428.70,0.00,6.98,421.72,0.00,421.72,100.00%,0.00
Sep/27,1041.30,0.00,55.09,986.21,0.00,986.21,100.00%,0.00
Sep/26,1288.70,0.00,77.26,1211.44,0.00,1211.44,100.00%,0.00
Sep/25,1297.60,0.00,73.63,1223.97,0.00,1223.97,100.00%,0.00
Sep/24,1264.60,0.00,82.44,1182.16,0.00,1182.16,100.00%,0.00
Sep/23,923.90,0.00,54.05,869.85,0.00,869.85,100.00%,0.00
Sep/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Sep/21,321.20,0.00,26.35,294.85,0.00,294.85,100.00%,0.00
Sep/20,890.00,0.00,53.37,836.63,0.00,836.63,100.00%,0.00
Sep/19,1075.20,0.00,71.32,1003.88,0.00,1003.88,100.00%,0.00
Sep/18,1354.00,5.00,76.68,1272.32,0.00,1272.32,100.00%,0.00
Sep/17,1176.10,4.00,104.03,1068.07,0.00,1068.07,100.00%,0.00
Sep/16,826.40,0.00,58.00,768.40,0.00,768.40,100.00%,0.00
Sep/15,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Sep/14,386.10,0.00,14.40,371.70,0.00,371.70,100.00%,0.00
Sep/13,1267.70,35.80,162.75,1069.15,0.00,1069.15,100.00%,0.00
Sep/12,946.50,0.00,54.90,891.60,0.00,891.60,100.00%,0.00
Sep/11,1507.70,0.00,45.01,1462.69,0.00,1462.69,100.00%,0.00
Sep/10,1160.00,0.00,39.42,1120.58,0.00,1120.58,100.00%,0.00
Sep/09,1210.30,0.00,23.70,1186.60,0.00,1186.60,100.00%,0.00
Sep/08,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Sep/07,634.50,0.00,14.45,620.05,0.00,620.05,100.00%,0.00
Sep/06,1419.70,0.00,79.71,1339.99,0.00,1339.99,100.00%,0.00
Sep/05,1314.00,0.00,41.92,1272.08,0.00,1272.08,100.00%,0.00
Sep/04,1412.00,0.00,32.26,1379.74,0.00,1379.74,100.00%,0.00
