Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,25.000,25.00,0.000,0.00,0.20,24.80,0.00,24.80,100.00%,0.00
$2 Add on,AO2,Add Ons,3.000,6.00,0.000,0.00,0.20,5.80,0.00,5.80,100.00%,0.00
$200 for $230,10027,Credits,2.000,400.00,0.000,0.00,0.00,400.00,0.00,400.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,102.000,693.60,0.000,0.00,41.32,652.28,0.00,652.28,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,33.000,191.40,0.000,0.00,7.28,184.12,0.00,184.12,100.00%,0.00
(R) Grill Pork,10004,Sides 1,190.000,798.00,0.000,0.00,18.69,779.31,0.00,779.31,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,81.000,283.50,2.000,7.00,2.09,274.41,0.00,274.41,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,26.000,111.80,0.000,0.00,0.92,110.88,0.00,110.88,100.00%,0.00
(S) Mala Minced Pork,10015,No category,18.000,86.40,0.000,0.00,0.05,86.35,0.00,86.35,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,35.000,170.00,0.000,0.00,0.48,169.52,0.00,169.52,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,76.000,418.00,0.000,0.00,2.66,415.34,0.00,415.34,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,43.000,187.40,0.000,0.00,5.16,182.24,0.00,182.24,100.00%,0.00
(S)Tom Yum Pork,02S,No category,44.000,213.20,0.000,0.00,1.04,212.16,0.00,212.16,100.00%,0.00
(SX3) River Prawn,10029,Sides 1,1.000,8.80,0.000,0.00,0.00,8.80,0.00,8.80,100.00%,0.00
Aurora Cooler,10040,No category,67.000,237.50,1.000,3.50,5.25,228.75,0.00,228.75,100.00%,0.00
Coke,10039,No category,14.000,30.80,0.000,0.00,0.22,30.58,0.00,30.58,100.00%,0.00
Cold Lemongrass Tea,10041,No category,130.000,339.00,0.000,0.00,5.52,333.48,0.00,333.48,100.00%,0.00
Collagen Chicken Broth,10005,No category,87.000,464.10,0.000,0.00,2.01,462.09,0.00,462.09,100.00%,0.00
Collagen Pork Broth,10000,No category,197.000,1159.60,0.000,0.00,47.88,1111.72,0.00,1111.72,100.00%,0.00
Creamy Tom Yum,10018,No category,232.000,1378.60,0.000,0.00,76.14,1302.46,0.00,1302.46,100.00%,0.00
Crispy Pork,10059,Products,92.000,644.00,0.000,0.00,16.24,627.76,0.00,627.76,100.00%,0.00
Dessert,10058,No category,87.000,130.50,0.000,0.00,15.75,114.75,0.00,114.75,100.00%,0.00
Half Egg,10055,Sides 1,2.000,1.00,0.000,0.00,0.00,1.00,0.00,1.00,100.00%,0.00
Hot Coffee,802,No category,50.000,90.00,0.000,0.00,0.14,89.86,0.00,89.86,100.00%,0.00
Hot Lemongrass Tea,10042,No category,56.000,100.80,0.000,0.00,1.71,99.09,0.00,99.09,100.00%,0.00
Hot Tea,801,No category,86.000,154.80,0.000,0.00,0.40,154.40,0.00,154.40,100.00%,0.00
Lime Juice,10025,No category,101.000,266.60,0.000,0.00,1.00,265.60,0.00,265.60,100.00%,0.00
Mala Minced Pork,10014,No category,95.000,560.00,0.000,0.00,3.66,556.34,0.00,556.34,100.00%,0.00
Mango Sago,10048,No category,33.000,125.40,0.000,0.00,2.57,122.83,0.00,122.83,100.00%,0.00
Mango Sticky Rice,10028,No category,131.000,759.80,0.000,0.00,28.01,731.79,0.00,731.79,100.00%,0.00
Mu Ping,10052,Sides 1,116.000,672.80,0.000,0.00,26.34,646.46,0.00,646.46,100.00%,0.00
Mu Ping (X1),10053,Sides 1,82.000,164.00,0.000,0.00,9.72,154.28,0.00,154.28,100.00%,0.00
Northern Thai Pork Rib,01,No category,388.000,2644.40,0.000,0.00,38.48,2605.92,0.00,2605.92,100.00%,0.00
Papaya Salad,10017,Sides 1,64.000,307.20,0.000,0.00,1.22,305.98,0.00,305.98,100.00%,0.00
Pink Soda,10050,No category,33.000,85.80,0.000,0.00,0.96,84.84,0.00,84.84,100.00%,0.00
Premium Tom Yum,10019,No category,87.000,939.60,0.000,0.00,36.76,902.84,0.00,902.84,100.00%,0.00
Red Ruby,3001,No category,66.000,184.80,0.000,0.00,2.83,181.97,0.00,181.97,100.00%,0.00
Rice,10007,Sides 2,162.000,162.00,2.000,2.00,0.88,159.12,0.00,159.12,100.00%,0.00
Rice Cracker,10049,Products,54.000,324.00,0.000,0.00,2.56,321.44,0.00,321.44,100.00%,0.00
Sai Mai,10023,No category,64.000,256.00,0.000,0.00,9.03,246.97,0.00,246.97,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,42.000,201.60,0.000,0.00,1.56,200.04,0.00,200.04,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,1.000,3.00,0.000,0.00,0.30,2.70,0.00,2.70,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,5.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Straw (Big),10037,Products,1.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Thai Bak Chor Mee,10062,No category,16.000,94.80,0.000,0.00,6.00,88.80,0.00,88.80,100.00%,0.00
Thai Collagen Porridge,10063,No category,8.000,38.40,0.000,0.00,12.00,26.40,0.00,26.40,100.00%,0.00
Thai Green Tea,10035,No category,92.000,321.00,0.000,0.00,2.79,318.21,0.00,318.21,100.00%,0.00
Thai Ice Coffee,103,No category,95.000,267.00,0.000,0.00,14.65,252.35,0.00,252.35,100.00%,0.00
Thai Ice Tea,101,No category,495.000,1486.00,1.000,2.60,34.96,1448.44,0.00,1448.44,100.00%,0.00
Thai Lemon Tea,102,No category,74.000,195.40,0.000,0.00,1.67,193.73,0.00,193.73,100.00%,0.00
Thai Stew Chicken,03,No category,112.000,593.60,0.000,0.00,27.57,566.03,0.00,566.03,100.00%,0.00
Tom Yum Gong,10016,No category,117.000,761.50,0.000,0.00,7.80,753.70,0.00,753.70,100.00%,0.00
Tom Yum Pork,02,No category,147.000,856.60,0.000,0.00,26.05,830.55,0.00,830.55,100.00%,0.00
Water (Cold),90001,No category,12.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Warm),90003,No category,10.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Hot),90002,No category,3.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
