Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$2 Add on,AO2,Add Ons,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
$200 for $230,10027,Credits,2.000,400.00,0.000,0.00,0.00,400.00,0.00,400.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,100.000,680.00,0.000,0.00,46.24,633.76,0.00,633.76,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,40.000,232.00,0.000,0.00,13.92,218.08,0.00,218.08,100.00%,0.00
(R) Grill Pork,10004,Sides 1,206.000,865.20,0.000,0.00,42.00,823.20,0.00,823.20,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,62.000,217.00,0.000,0.00,3.87,213.13,0.00,213.13,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,26.000,113.80,0.000,0.00,9.89,103.91,0.00,103.91,100.00%,0.00
(S) Mala Minced Pork,10015,No category,14.000,67.20,0.000,0.00,0.48,66.72,0.00,66.72,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,30.000,144.00,0.000,0.00,12.96,131.04,0.00,131.04,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,82.000,451.00,0.000,0.00,9.90,441.10,0.00,441.10,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,32.000,137.60,0.000,0.00,1.29,136.31,0.00,136.31,100.00%,0.00
(S)Tom Yum Pork,02S,No category,37.000,177.60,0.000,0.00,12.48,165.12,0.00,165.12,100.00%,0.00
Aurora Cooler,10040,No category,95.000,337.50,0.000,0.00,7.00,330.50,0.00,330.50,100.00%,0.00
Coke,10039,No category,10.000,22.00,0.000,0.00,0.66,21.34,0.00,21.34,100.00%,0.00
Cold Lemongrass Tea,10041,No category,185.000,487.00,0.000,0.00,25.26,461.74,0.00,461.74,100.00%,0.00
Collagen Chicken Broth,10005,No category,97.000,519.10,0.000,0.00,22.26,496.84,0.00,496.84,100.00%,0.00
Collagen Pork Broth,10000,No category,160.000,955.00,0.000,0.00,57.70,897.30,0.00,897.30,100.00%,0.00
Creamy Tom Yum,10018,No category,232.000,1366.60,0.000,0.00,43.96,1322.64,0.00,1322.64,100.00%,0.00
Crispy Pork,10059,Products,107.000,749.00,0.000,0.00,14.15,734.85,0.00,734.85,100.00%,0.00
Dessert,10058,No category,158.000,237.00,0.000,0.00,11.85,225.15,0.00,225.15,100.00%,0.00
Half Egg,10055,Sides 1,11.000,11.00,0.000,0.00,0.10,10.90,0.00,10.90,100.00%,0.00
Hot Coffee,802,No category,49.000,88.20,0.000,0.00,2.34,85.86,0.00,85.86,100.00%,0.00
Hot Lemongrass Tea,10042,No category,108.000,194.40,0.000,0.00,5.76,188.64,0.00,188.64,100.00%,0.00
Hot Tea,801,No category,69.000,124.20,0.000,0.00,6.30,117.90,0.00,117.90,100.00%,0.00
Lime Juice,10025,No category,63.000,172.80,0.000,0.00,3.26,169.54,0.00,169.54,100.00%,0.00
Mala Minced Pork,10014,No category,113.000,659.40,0.000,0.00,26.58,632.82,0.00,632.82,100.00%,0.00
Mango Sago,10048,No category,20.000,76.00,0.000,0.00,10.64,65.36,0.00,65.36,100.00%,0.00
Mango Sticky Rice,10028,No category,93.000,539.40,0.000,0.00,16.82,522.58,0.00,522.58,100.00%,0.00
Mu Ping,10052,Sides 1,116.000,672.80,0.000,0.00,67.21,605.59,0.00,605.59,100.00%,0.00
Mu Ping (X1),10053,Sides 1,68.000,136.00,0.000,0.00,12.80,123.20,0.00,123.20,100.00%,0.00
Northern Thai Pork Rib,01,No category,380.000,2589.50,0.000,0.00,81.31,2508.19,0.00,2508.19,100.00%,0.00
Papaya Salad,10017,Sides 1,62.000,297.60,0.000,0.00,11.76,285.84,0.00,285.84,100.00%,0.00
Pink Soda,10050,No category,31.000,80.60,0.000,0.00,2.09,78.51,0.00,78.51,100.00%,0.00
Premium Tom Yum,10019,No category,109.000,1179.20,0.000,0.00,61.56,1117.64,0.00,1117.64,100.00%,0.00
Red Ruby,3001,No category,69.000,193.20,0.000,0.00,4.20,189.00,0.00,189.00,100.00%,0.00
Rice,10007,Sides 2,130.000,130.00,0.000,0.00,2.85,127.15,0.00,127.15,100.00%,0.00
Rice Cracker,10049,Products,77.000,462.00,0.000,0.00,6.90,455.10,0.00,455.10,100.00%,0.00
Sai Mai,10023,No category,88.000,352.00,0.000,0.00,18.80,333.20,0.00,333.20,100.00%,0.00
Spicy Pork Rib,10012,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,48.000,230.40,0.000,0.00,10.08,220.32,0.00,220.32,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,4.000,12.00,0.000,0.00,0.90,11.10,0.00,11.10,100.00%,0.00
