Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,5.000,5.00,0.000,0.00,0.00,5.00,0.00,5.00,100.00%,0.00
$2 Add on,AO2,Add Ons,8.000,16.00,0.000,0.00,0.70,15.30,0.00,15.30,100.00%,0.00
$200 for $230,10027,Credits,4.000,800.00,0.000,0.00,0.00,800.00,0.00,800.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,98.000,666.40,1.000,6.80,55.42,604.18,0.00,604.18,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,46.000,266.80,0.000,0.00,4.35,262.45,0.00,262.45,100.00%,0.00
(R) Grill Pork,10004,Sides 1,194.000,814.80,0.000,0.00,49.35,765.45,0.00,765.45,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,99.000,346.50,0.000,0.00,10.67,335.83,0.00,335.83,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,24.000,103.70,0.000,0.00,4.30,99.40,0.00,99.40,100.00%,0.00
(S) Mala Minced Pork,10015,No category,29.000,139.20,0.000,0.00,8.16,131.04,0.00,131.04,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,43.000,206.40,0.000,0.00,11.52,194.88,0.00,194.88,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,91.000,504.50,0.000,0.00,23.03,481.47,0.00,481.47,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,36.000,156.30,0.000,0.00,7.54,148.76,0.00,148.76,100.00%,0.00
(S)Tom Yum Pork,02S,No category,33.000,158.40,0.000,0.00,12.48,145.92,0.00,145.92,100.00%,0.00
Aurora Cooler,10040,No category,63.000,226.50,1.000,4.50,16.28,205.72,0.00,205.72,100.00%,0.00
Coke,10039,No category,10.000,22.00,0.000,0.00,2.86,19.14,0.00,19.14,100.00%,0.00
Cold Lemongrass Tea,10041,No category,160.000,418.00,0.000,0.00,17.68,400.32,0.00,400.32,100.00%,0.00
Collagen Chicken Broth,10005,No category,94.000,501.20,0.000,0.00,30.21,470.99,0.00,470.99,100.00%,0.00
Collagen Pork Broth,10000,No category,171.000,1009.80,2.000,13.60,78.86,917.34,0.00,917.34,100.00%,0.00
Creamy Tom Yum,10018,No category,270.000,1599.00,1.000,5.80,91.82,1501.38,0.00,1501.38,100.00%,0.00
Crispy Pork,10059,Products,199.000,1393.00,0.000,0.00,79.45,1313.55,0.00,1313.55,100.00%,0.00
Dessert,10058,No category,234.000,351.00,1.000,1.50,12.38,337.12,0.00,337.12,100.00%,0.00
Half Egg,10055,Sides 1,6.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Hot Coffee,802,No category,53.000,95.40,0.000,0.00,2.79,92.61,0.00,92.61,100.00%,0.00
Hot Lemongrass Tea,10042,No category,98.000,176.40,0.000,0.00,7.83,168.57,0.00,168.57,100.00%,0.00
Hot Tea,801,No category,93.000,167.40,0.000,0.00,7.29,160.11,0.00,160.11,100.00%,0.00
Lime Juice,10025,No category,86.000,238.60,0.000,0.00,4.09,234.51,0.00,234.51,100.00%,0.00
Mala Minced Pork,10014,No category,130.000,770.00,0.000,0.00,24.87,745.13,0.00,745.13,100.00%,0.00
Mango Sago,10048,No category,30.000,114.00,0.000,0.00,5.70,108.30,0.00,108.30,100.00%,0.00
Mango Sticky Rice,10028,No category,122.000,707.60,0.000,0.00,22.62,684.98,0.00,684.98,100.00%,0.00
Mu Ping,10052,Sides 1,139.000,806.20,1.000,5.80,78.59,721.81,0.00,721.81,100.00%,0.00
Mu Ping (X1),10053,Sides 1,69.000,138.00,0.000,0.00,10.40,127.60,0.00,127.60,100.00%,0.00
Northern Thai Pork Rib,01,No category,350.000,2400.00,0.000,0.00,70.79,2329.21,0.00,2329.21,100.00%,0.00
Papaya Salad,10017,Sides 1,67.000,321.60,0.000,0.00,30.96,290.64,0.00,290.64,100.00%,0.00
Pink Soda,10050,No category,36.000,93.60,0.000,0.00,4.42,89.18,0.00,89.18,100.00%,0.00
Pork Slice,10020,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Premium Tom Yum,10019,No category,94.000,1016.20,0.000,0.00,19.98,996.22,0.00,996.22,100.00%,0.00
Red Ruby,3001,No category,53.000,148.40,0.000,0.00,2.10,146.30,0.00,146.30,100.00%,0.00
Rice,10007,Sides 2,204.000,204.00,0.000,0.00,4.65,199.35,0.00,199.35,100.00%,0.00
Rice Cracker,10049,Products,184.000,1104.00,1.000,6.00,64.50,1033.50,0.00,1033.50,100.00%,0.00
Sai Mai,10023,No category,65.000,260.00,0.000,0.00,30.80,229.20,0.00,229.20,100.00%,0.00
Spicy Pork Rib,10012,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,55.000,264.00,0.000,0.00,12.48,251.52,0.00,251.52,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,7.000,21.00,0.000,0.00,0.90,20.10,0.00,20.10,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,4.000,12.00,0.000,0.00,0.60,11.40,0.00,11.40,100.00%,0.00
Straw (Big),10037,Products,1.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Straw (Set),10038,Products,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
Thai Green Tea,10035,No category,117.000,410.00,0.000,0.00,11.40,398.60,0.00,398.60,100.00%,0.00
Thai Ice Coffee,103,No category,97.000,263.20,0.000,0.00,15.78,247.42,0.00,247.42,100.00%,0.00
Thai Ice Tea,101,No category,658.000,1990.80,2.000,5.20,97.42,1888.18,0.00,1888.18,100.00%,0.00
Thai Lemon Tea,102,No category,67.000,176.20,0.000,0.00,1.97,174.23,0.00,174.23,100.00%,0.00
Thai Stew Chicken,03,No category,131.000,700.30,0.000,0.00,32.36,667.94,0.00,667.94,100.00%,0.00
Tom Yum Gong,10016,No category,184.000,1204.50,0.000,0.00,52.36,1152.14,0.00,1152.14,100.00%,0.00
Tom Yum Pork,02,No category,166.000,975.30,0.000,0.00,34.25,941.05,0.00,941.05,100.00%,0.00
Water (Cold),90001,No category,45.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
