Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,25.000,25.00,0.000,0.00,0.26,24.74,0.00,24.74,100.00%,0.00
$2 Add on,AO2,Add Ons,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
$3 Add On,AO3,Add Ons,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,79.000,934.90,0.000,0.00,15.34,919.56,0.00,919.56,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,6.000,48.00,0.000,0.00,0.00,48.00,0.00,48.00,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,83.000,500.00,1.000,6.00,1.80,492.20,0.00,492.20,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,14.000,42.00,0.000,0.00,0.00,42.00,0.00,42.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,34.000,210.00,0.000,0.00,2.40,207.60,0.00,207.60,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,16.000,48.00,0.000,0.00,0.00,48.00,0.00,48.00,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,141.000,854.00,0.000,0.00,4.20,849.80,0.00,849.80,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,10.000,80.00,0.000,0.00,0.00,80.00,0.00,80.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,3.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,27.000,108.00,0.000,0.00,0.00,108.00,0.00,108.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,345.000,2416.40,1.000,7.00,32.97,2376.43,0.00,2376.43,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,6.000,18.00,0.000,0.00,0.30,17.70,0.00,17.70,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,3.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,65.000,390.00,0.000,0.00,1.20,388.80,0.00,388.80,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,3.000,9.00,0.000,0.00,0.00,9.00,0.00,9.00,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,5.000,41.00,0.000,0.00,0.00,41.00,0.00,41.00,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,122.000,736.00,0.000,0.00,6.00,730.00,0.00,730.00,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,3.000,12.00,0.000,0.00,0.40,11.60,0.00,11.60,100.00%,0.00
A6. Tom Yum Gung (Large),A6L,Spicy Mains,3.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,54.000,378.00,0.000,0.00,0.70,377.30,0.00,377.30,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,3.000,9.00,0.000,0.00,0.30,8.70,0.00,8.70,100.00%,0.00
