Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,7.000,7.00,0.000,0.00,1.10,5.90,0.00,5.90,100.00%,0.00
$2 Add on,AO2,Add Ons,5.000,10.00,0.000,0.00,0.00,10.00,0.00,10.00,100.00%,0.00
$200 for $230,10027,Credits,2.000,400.00,0.000,0.00,0.00,400.00,0.00,400.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,93.000,632.40,0.000,0.00,11.99,620.41,0.00,620.41,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,26.000,150.80,0.000,0.00,0.58,150.22,0.00,150.22,100.00%,0.00
(R) Grill Pork,10004,Sides 1,109.000,457.80,1.000,4.20,19.32,434.28,0.00,434.28,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,50.000,175.00,0.000,0.00,4.01,170.99,0.00,170.99,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,13.000,57.90,0.000,0.00,4.73,53.17,0.00,53.17,100.00%,0.00
(S) Mala Minced Pork,10015,No category,19.000,91.20,0.000,0.00,0.90,90.30,0.00,90.30,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,20.000,100.00,0.000,0.00,28.22,71.78,0.00,71.78,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,53.000,293.50,0.000,0.00,1.10,292.40,0.00,292.40,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,20.000,86.00,0.000,0.00,4.73,81.27,0.00,81.27,100.00%,0.00
(S)Tom Yum Pork,02S,No category,13.000,62.40,0.000,0.00,0.00,62.40,0.00,62.40,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,16.000,188.80,0.000,0.00,1.71,187.09,0.00,187.09,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,1.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,17.000,102.00,0.000,0.00,0.60,101.40,0.00,101.40,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,1.000,3.00,0.000,0.00,3.00,0.00,0.00,0.00,0.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,7.000,42.00,0.000,0.00,6.00,36.00,0.00,36.00,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,1.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,4.000,12.00,0.000,0.00,0.30,11.70,0.00,11.70,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,30.000,182.00,0.000,0.00,0.00,182.00,0.00,182.00,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,1.000,8.00,0.000,0.00,0.00,8.00,0.00,8.00,100.00%,0.00
