Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,2.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
$2 Add on,AO2,Add Ons,1.000,2.00,0.000,0.00,0.00,2.00,0.00,2.00,100.00%,0.00
$200 for $230,10027,Credits,2.000,400.00,0.000,0.00,0.00,400.00,0.00,400.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,135.000,918.00,0.000,0.00,101.59,816.41,0.00,816.41,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,46.000,266.80,1.000,5.80,19.33,241.67,0.00,241.67,100.00%,0.00
(R) Grill Pork,10004,Sides 1,239.000,1003.80,0.000,0.00,41.35,962.45,0.00,962.45,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,81.000,283.50,0.000,0.00,7.03,276.47,0.00,276.47,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,51.000,219.30,0.000,0.00,10.98,208.32,0.00,208.32,100.00%,0.00
(S) Mala Minced Pork,10015,No category,23.000,110.40,0.000,0.00,5.37,105.03,0.00,105.03,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,53.000,256.40,0.000,0.00,11.62,244.78,0.00,244.78,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,140.000,774.50,0.000,0.00,13.85,760.65,0.00,760.65,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,37.000,161.10,0.000,0.00,18.57,142.53,0.00,142.53,100.00%,0.00
(S)Tom Yum Pork,02S,No category,46.000,220.80,0.000,0.00,9.48,211.32,0.00,211.32,100.00%,0.00
Aurora Cooler,10040,No category,99.000,357.50,0.000,0.00,37.34,320.16,0.00,320.16,100.00%,0.00
Coke,10039,No category,16.000,35.20,0.000,0.00,0.90,34.30,0.00,34.30,100.00%,0.00
Cold Lemongrass Tea,10041,No category,220.000,576.00,0.000,0.00,19.06,556.94,0.00,556.94,100.00%,0.00
Collagen Chicken Broth,10005,No category,85.000,450.50,0.000,0.00,4.34,446.16,0.00,446.16,100.00%,0.00
Collagen Pork Broth,10000,No category,234.000,1378.20,3.000,17.40,93.80,1267.00,0.00,1267.00,100.00%,0.00
Creamy Tom Yum,10018,No category,269.000,1592.20,2.000,11.60,51.42,1529.18,0.00,1529.18,100.00%,0.00
Crispy Pork,10059,Products,138.000,966.00,0.000,0.00,29.63,936.37,0.00,936.37,100.00%,0.00
Dessert,10058,No category,90.000,135.00,4.000,6.00,16.00,113.00,0.00,113.00,100.00%,0.00
Half Egg,10055,Sides 1,12.000,7.50,0.000,0.00,0.00,7.50,0.00,7.50,100.00%,0.00
Hot Coffee,802,No category,53.000,95.40,0.000,0.00,3.11,92.29,0.00,92.29,100.00%,0.00
Hot Lemongrass Tea,10042,No category,94.000,169.20,0.000,0.00,10.08,159.12,0.00,159.12,100.00%,0.00
Hot Tea,801,No category,77.000,138.60,0.000,0.00,1.79,136.81,0.00,136.81,100.00%,0.00
Lime Juice,10025,No category,107.000,293.20,1.000,2.60,4.55,286.05,0.00,286.05,100.00%,0.00
Mala Minced Pork,10014,No category,98.000,578.40,0.000,0.00,11.50,566.90,0.00,566.90,100.00%,0.00
Mango Sago,10048,No category,55.000,209.00,0.000,0.00,19.88,189.12,0.00,189.12,100.00%,0.00
Mango Sticky Rice,10028,No category,152.000,881.60,0.000,0.00,39.67,841.93,0.00,841.93,100.00%,0.00
Mu Ping,10052,Sides 1,166.000,962.80,0.000,0.00,94.25,868.55,0.00,868.55,100.00%,0.00
Mu Ping (X1),10053,Sides 1,75.000,150.00,1.000,2.00,3.17,144.83,0.00,144.83,100.00%,0.00
Northern Thai Pork Rib,01,No category,500.000,3415.00,0.000,0.00,126.51,3288.49,0.00,3288.49,100.00%,0.00
Papaya Salad,10017,Sides 1,87.000,417.60,1.000,4.80,25.26,387.54,0.00,387.54,100.00%,0.00
Pink Soda,10050,No category,38.000,98.80,0.000,0.00,0.96,97.84,0.00,97.84,100.00%,0.00
Premium Tom Yum,10019,No category,124.000,1347.70,0.000,0.00,73.14,1274.56,0.00,1274.56,100.00%,0.00
Red Ruby,3001,No category,89.000,249.20,0.000,0.00,12.38,236.82,0.00,236.82,100.00%,0.00
Rice,10007,Sides 2,199.000,199.00,2.000,2.00,1.20,195.80,0.00,195.80,100.00%,0.00
Rice Cracker,10049,Products,97.000,582.00,0.000,0.00,8.03,573.97,0.00,573.97,100.00%,0.00
Sai Mai,10023,No category,96.000,384.00,0.000,0.00,48.88,335.12,0.00,335.12,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,77.000,369.60,0.000,0.00,21.58,348.02,0.00,348.02,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,6.000,18.00,0.000,0.00,0.63,17.37,0.00,17.37,100.00%,0.00
Thai Bak Chor Mee,10062,No category,20.000,116.00,0.000,0.00,49.50,66.50,0.00,66.50,100.00%,0.00
Thai Collagen Porridge,10063,No category,14.000,67.20,0.000,0.00,9.49,57.71,0.00,57.71,100.00%,0.00
Thai Green Tea,10035,No category,104.000,364.00,0.000,0.00,4.92,359.08,0.00,359.08,100.00%,0.00
Thai Ice Coffee,103,No category,108.000,308.80,0.000,0.00,18.87,289.93,0.00,289.93,100.00%,0.00
Thai Ice Tea,101,No category,576.000,1735.60,1.000,3.60,97.32,1634.68,0.00,1634.68,100.00%,0.00
Thai Lemon Tea,102,No category,58.000,155.80,0.000,0.00,8.59,147.21,0.00,147.21,100.00%,0.00
