Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,11.000,11.00,0.000,0.00,1.10,9.90,0.00,9.90,100.00%,0.00
$2 Add on,AO2,Add Ons,15.000,30.00,0.000,0.00,0.16,29.84,0.00,29.84,100.00%,0.00
$200 for $230,10027,Credits,1.000,200.00,0.000,0.00,0.00,200.00,0.00,200.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,94.000,639.20,0.000,0.00,39.03,600.17,0.00,600.17,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,27.000,156.60,0.000,0.00,6.38,150.22,0.00,150.22,100.00%,0.00
(R) Grill Pork,10004,Sides 1,151.000,634.20,0.000,0.00,15.54,618.66,0.00,618.66,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,66.000,231.00,0.000,0.00,4.20,226.80,0.00,226.80,100.00%,0.00
(S) Collagen Chicken Broth,10006,No category,22.000,94.60,0.000,0.00,0.86,93.74,0.00,93.74,100.00%,0.00
(S) Mala Minced Pork,10015,No category,17.000,81.60,0.000,0.00,0.49,81.11,0.00,81.11,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,34.000,163.20,0.000,0.00,1.93,161.27,0.00,161.27,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,86.000,473.00,0.000,0.00,3.87,469.13,0.00,469.13,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,25.000,107.50,0.000,0.00,0.00,107.50,0.00,107.50,100.00%,0.00
(S)Tom Yum Pork,02S,No category,30.000,144.00,0.000,0.00,10.10,133.90,0.00,133.90,100.00%,0.00
Aurora Cooler,10040,No category,59.000,211.50,0.000,0.00,1.66,209.84,0.00,209.84,100.00%,0.00
Coke,10039,No category,9.000,19.80,0.000,0.00,0.00,19.80,0.00,19.80,100.00%,0.00
Cold Lemongrass Tea,10041,No category,157.000,408.20,0.000,0.00,11.49,396.71,0.00,396.71,100.00%,0.00
Collagen Chicken Broth,10005,No category,79.000,421.70,0.000,0.00,6.75,414.95,0.00,414.95,100.00%,0.00
Collagen Pork Broth,10000,No category,182.000,1079.60,0.000,0.00,32.59,1047.01,0.00,1047.01,100.00%,0.00
Creamy Tom Yum,10018,No category,167.000,986.60,0.000,0.00,53.78,932.82,0.00,932.82,100.00%,0.00
Crispy Pork,10059,Products,51.000,357.00,0.000,0.00,0.59,356.41,0.00,356.41,100.00%,0.00
Dessert,10058,No category,47.000,70.50,0.000,0.00,10.55,59.95,0.00,59.95,100.00%,0.00
Half Egg,10055,Sides 1,23.000,11.50,0.000,0.00,0.00,11.50,0.00,11.50,100.00%,0.00
Hot Coffee,802,No category,42.000,75.60,0.000,0.00,1.96,73.64,0.00,73.64,100.00%,0.00
Hot Lemongrass Tea,10042,No category,85.000,153.00,0.000,0.00,4.04,148.96,0.00,148.96,100.00%,0.00
Hot Tea,801,No category,93.000,167.40,0.000,0.00,6.30,161.10,0.00,161.10,100.00%,0.00
Lime Juice,10025,No category,71.000,184.60,0.000,0.00,1.56,183.04,0.00,183.04,100.00%,0.00
Mala Minced Pork,10014,No category,74.000,437.20,0.000,0.00,1.02,436.18,0.00,436.18,100.00%,0.00
Mango Sago,10048,No category,31.000,117.80,0.000,0.00,5.70,112.10,0.00,112.10,100.00%,0.00
Mango Sticky Rice,10028,No category,115.000,667.00,0.000,0.00,17.08,649.92,0.00,649.92,100.00%,0.00
Mu Ping,10052,Sides 1,105.000,609.00,0.000,0.00,35.87,573.13,0.00,573.13,100.00%,0.00
Mu Ping (X1),10053,Sides 1,84.000,168.00,0.000,0.00,20.44,147.56,0.00,147.56,100.00%,0.00
Northern Thai Pork Rib,01,No category,369.000,2525.20,0.000,0.00,37.36,2487.84,0.00,2487.84,100.00%,0.00
Papaya Salad,10017,Sides 1,53.000,254.40,0.000,0.00,5.76,248.64,0.00,248.64,100.00%,0.00
Pink Soda,10050,No category,24.000,62.40,0.000,0.00,0.00,62.40,0.00,62.40,100.00%,0.00
Premium Tom Yum,10019,No category,82.000,885.60,0.000,0.00,13.97,871.63,0.00,871.63,100.00%,0.00
Red Ruby,3001,No category,63.000,176.40,0.000,0.00,3.92,172.48,0.00,172.48,100.00%,0.00
Rice,10007,Sides 2,132.000,132.00,0.000,0.00,1.34,130.66,0.00,130.66,100.00%,0.00
Rice Cracker,10049,Products,44.000,264.00,0.000,0.00,2.16,261.84,0.00,261.84,100.00%,0.00
Sai Mai,10023,No category,29.000,116.00,0.000,0.00,1.53,114.47,0.00,114.47,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,52.000,249.60,0.000,0.00,5.91,243.69,0.00,243.69,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,4.000,12.00,0.000,0.00,0.30,11.70,0.00,11.70,100.00%,0.00
Thai Bak Chor Mee,10062,No category,2.000,11.60,0.000,0.00,0.42,11.18,0.00,11.18,100.00%,0.00
Thai Collagen Porridge,10063,No category,2.000,9.60,0.000,0.00,1.42,8.18,0.00,8.18,100.00%,0.00
Thai Green Tea,10035,No category,80.000,279.00,0.000,0.00,4.17,274.83,0.00,274.83,100.00%,0.00
Thai Ice Coffee,103,No category,79.000,217.40,0.000,0.00,6.72,210.68,0.00,210.68,100.00%,0.00
Thai Ice Tea,101,No category,394.000,1159.40,0.000,0.00,17.98,1141.42,0.00,1141.42,100.00%,0.00
Thai Lemon Tea,102,No category,54.000,140.40,0.000,0.00,6.95,133.45,0.00,133.45,100.00%,0.00
Thai Stew Chicken,03,No category,98.000,524.70,0.000,0.00,14.47,510.23,0.00,510.23,100.00%,0.00
Tom Yum Gong,10016,No category,117.000,767.50,0.000,0.00,41.50,726.00,0.00,726.00,100.00%,0.00
Tom Yum Pork,02,No category,104.000,607.70,0.000,0.00,1.60,606.10,0.00,606.10,100.00%,0.00
Water (Cold),90001,No category,18.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Warm),90003,No category,9.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Hot),90002,No category,2.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
