Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$200 for $230,10027,Credits,4.000,800.00,0.000,0.00,0.00,800.00,0.00,800.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,150.000,870.00,0.000,0.00,92.22,777.78,0.00,777.78,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,74.000,355.20,1.000,4.80,29.52,320.88,0.00,320.88,100.00%,0.00
(MX3) River Prawn,10034,Sides 1,2.000,25.60,0.000,0.00,3.84,21.76,0.00,21.76,100.00%,0.00
(R) Grill Pork,10004,Sides 1,228.000,866.40,1.000,3.80,65.17,797.43,0.00,797.43,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,113.000,316.40,0.000,0.00,15.68,300.72,31.20,269.52,89.62%,0.00
(S) Collagen Chicken Broth,10006,No category,37.000,159.10,0.000,0.00,5.16,153.94,0.00,153.94,100.00%,0.00
(S) Creamy Tom Yum,10019,No category,32.000,130.00,0.000,0.00,3.60,126.40,0.00,126.40,100.00%,0.00
(S) Mala Minced Pork,10015,No category,21.000,100.80,0.000,0.00,18.00,82.80,0.00,82.80,100.00%,0.00
(S) Tom Yum Gong,10017,No category,58.000,262.00,0.000,0.00,11.42,250.58,0.00,250.58,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,38.000,182.40,0.000,0.00,19.68,162.72,0.00,162.72,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,88.000,442.00,0.000,0.00,11.25,430.75,0.00,430.75,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,30.000,129.00,0.000,0.00,4.54,124.46,0.00,124.46,100.00%,0.00
(S)Tom Yum Pork,02S,No category,52.000,249.60,0.000,0.00,18.24,231.36,0.00,231.36,100.00%,0.00
Aurora Cooler,10040,No category,22.000,77.00,0.000,0.00,7.54,69.46,0.00,69.46,100.00%,0.00
Chendol,10046,No category,9.000,25.20,0.000,0.00,6.86,18.34,0.00,18.34,100.00%,0.00
Chendol with Ruby,10047,No category,15.000,57.00,0.000,0.00,9.69,47.31,0.00,47.31,100.00%,0.00
Coke,10039,No category,2.000,4.40,0.000,0.00,0.00,4.40,0.00,4.40,100.00%,0.00
Cold Lemongrass Tea,10041,No category,86.000,223.60,0.000,0.00,12.35,211.25,0.00,211.25,100.00%,0.00
Collagen Chicken Broth,10005,No category,77.000,416.10,1.000,5.30,23.50,387.30,0.00,387.30,100.00%,0.00
Collagen Pork Broth,10000,No category,148.000,866.90,1.000,5.80,54.16,806.94,0.00,806.94,100.00%,0.00
Creamy Tom Yum,10018,No category,159.000,809.50,0.000,0.00,46.13,763.37,0.00,763.37,100.00%,0.00
Hot Coffee,802,No category,90.000,162.00,0.000,0.00,2.43,159.57,21.60,137.97,86.46%,0.00
Hot Lemongrass Tea,10042,No category,75.000,135.00,0.000,0.00,5.67,129.33,0.00,129.33,100.00%,0.00
Hot Tea,801,No category,119.000,214.20,1.000,1.80,5.85,206.55,18.40,188.15,91.09%,0.00
Lime Juice,10025,No category,84.000,235.40,2.000,5.20,13.45,216.75,0.00,216.75,100.00%,0.00
Mala Minced Pork,10014,No category,84.000,497.70,0.000,0.00,31.86,465.84,0.00,465.84,100.00%,0.00
Mango Sago,10048,No category,6.000,22.80,0.000,0.00,4.37,18.43,0.00,18.43,100.00%,0.00
Mango Sticky Rice,10028,No category,106.000,614.80,0.000,0.00,71.34,543.46,0.00,543.46,100.00%,0.00
Meat Patty,10013,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Northern Thai Pork Rib,01,No category,405.000,2644.50,0.000,0.00,145.53,2498.97,0.00,2498.97,100.00%,0.00
Pork Slice,10020,Sides 1,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
Red Ruby,3001,No category,93.000,260.40,0.000,0.00,19.88,240.52,25.00,215.52,89.61%,0.00
Rice,10007,Sides 2,164.000,164.00,1.000,1.00,6.80,156.20,0.00,156.20,100.00%,0.00
Rice Cracker,10049,Products,5.000,30.00,0.000,0.00,0.00,30.00,0.00,30.00,100.00%,0.00
Sai Mai,10023,No category,71.000,284.00,0.000,0.00,57.40,226.60,0.00,226.60,100.00%,0.00
Spicy Pork Salad,10051,Sides 1,4.000,19.20,0.000,0.00,0.72,18.48,0.00,18.48,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,12.000,36.00,0.000,0.00,3.00,33.00,0.00,33.00,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,6.000,18.00,0.000,0.00,1.20,16.80,0.00,16.80,100.00%,0.00
Straw (Set),10038,Products,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
Straw (Small),10036,Products,2.000,6.00,0.000,0.00,0.00,6.00,0.00,6.00,100.00%,0.00
Thai Green Tea,10035,No category,89.000,302.00,1.000,4.00,15.30,282.70,0.00,282.70,100.00%,0.00
Thai Ice Coffee,103,No category,62.000,166.20,0.000,0.00,15.45,150.75,0.00,150.75,100.00%,0.00
Thai Ice Tea,101,No category,734.000,2215.40,2.000,6.20,147.83,2061.37,0.00,2061.37,100.00%,0.00
Thai Lemon Tea,102,No category,95.000,255.00,0.000,0.00,14.25,240.75,29.00,211.75,87.95%,0.00
Thai Stew Chicken,03,No category,148.000,788.40,1.000,5.30,39.13,743.97,0.00,743.97,100.00%,0.00
Tom Yum Gong,10016,No category,246.000,1564.80,0.000,0.00,84.01,1480.79,0.00,1480.79,100.00%,0.00
Tom Yum Pork,02,No category,255.000,1495.80,5.000,29.50,109.43,1356.87,0.00,1356.87,100.00%,0.00
Water (Cold),90001,No category,91.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Warm),90003,No category,6.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
