Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,40.000,40.00,1.000,1.00,0.55,38.45,0.00,38.45,100.00%,0.00
A1. Premium Tom Yum (Normal),10012,Spicy Mains,18.000,212.40,0.000,0.00,1.18,211.22,0.00,211.22,100.00%,0.00
A1. Premium Tom Yum (Normal),10012,Spicy Mains,11.000,129.80,0.000,0.00,0.00,129.80,0.00,129.80,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,5.000,40.00,0.000,0.00,0.00,40.00,0.00,40.00,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,89.000,539.00,0.000,0.00,2.85,536.15,0.00,536.15,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,8.000,25.00,0.000,0.00,0.14,24.86,0.00,24.86,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,4.000,32.00,0.000,0.00,0.00,32.00,0.00,32.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,30.000,185.00,1.000,6.00,0.22,178.78,0.00,178.78,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,6.000,18.00,0.000,0.00,0.00,18.00,0.00,18.00,100.00%,0.00
A12. Pad Thai,A12,Dinner @ Sim Lim,16.000,91.00,0.000,0.00,1.20,89.80,0.00,89.80,100.00%,0.00
A13. Pad Thai with Prawns,A13,Dinner @ Sim Lim,6.000,51.00,0.000,0.00,0.00,51.00,0.00,51.00,100.00%,0.00
A14. Thai Fried Rice,A14,Dinner @ Sim Lim,2.000,11.00,0.000,0.00,0.00,11.00,0.00,11.00,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,18.000,144.00,2.000,16.00,1.60,126.40,0.00,126.40,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,233.000,1401.00,4.000,24.00,8.40,1368.60,0.00,1368.60,100.00%,0.00
