Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$200 for $230,10027,Credits,1.000,200.00,0.000,0.00,0.00,200.00,0.00,200.00,100.00%,0.00
(L) Grill Pork,10021,Sides 1,111.000,643.80,0.000,0.00,54.00,589.80,0.00,589.80,100.00%,0.00
(L) Lemon Grass Chicken,10022,Sides 1,47.000,225.60,0.000,0.00,6.96,218.64,0.00,218.64,100.00%,0.00
(MX1) River Prawn,10032,Sides 1,1.000,4.80,0.000,0.00,4.80,0.00,0.00,0.00,0.00%,0.00
(MX3) River Prawn,10034,Sides 1,4.000,51.20,0.000,0.00,10.24,40.96,0.00,40.96,100.00%,0.00
(R) Grill Pork,10004,Sides 1,211.000,801.80,0.000,0.00,47.55,754.25,0.00,754.25,100.00%,0.00
(R) Lemon Grass Chicken,10003,Sides 1,86.000,240.80,0.000,0.00,13.30,227.50,103.20,124.30,54.64%,0.00
(S) Collagen Chicken Broth,10006,No category,34.000,146.20,0.000,0.00,1.29,144.91,0.00,144.91,100.00%,0.00
(S) Creamy Tom Yum,10019,No category,22.000,88.00,0.000,0.00,1.80,86.20,0.00,86.20,100.00%,0.00
(S) Mala Minced Pork,10015,No category,30.000,145.00,0.000,0.00,5.96,139.04,0.00,139.04,100.00%,0.00
(S) Tom Yum Gong,10017,No category,54.000,247.00,0.000,0.00,11.15,235.85,0.00,235.85,100.00%,0.00
(S)Collagen Pork Broth,00001,No category,43.000,208.40,0.000,0.00,4.32,204.08,0.00,204.08,100.00%,0.00
(S)Northern Thai Pork Rib,01S,No category,108.000,543.00,0.000,0.00,13.95,529.05,0.00,529.05,100.00%,0.00
(S)Thai Stew Chicken,03S,No category,48.000,206.40,0.000,0.00,8.39,198.01,0.00,198.01,100.00%,0.00
(S)Tom Yum Pork,02S,No category,51.000,244.80,0.000,0.00,13.92,230.88,0.00,230.88,100.00%,0.00
Aurora Cooler,10040,No category,19.000,68.50,0.000,0.00,4.04,64.46,0.00,64.46,100.00%,0.00
Chendol,10046,No category,7.000,19.60,0.000,0.00,3.22,16.38,0.00,16.38,100.00%,0.00
Chendol with Ruby,10047,No category,2.000,7.60,0.000,0.00,3.80,3.80,0.00,3.80,100.00%,0.00
Coke,10039,No category,5.000,11.00,0.000,0.00,0.00,11.00,0.00,11.00,100.00%,0.00
Cold Lemongrass Tea,10041,No category,43.000,111.80,0.000,0.00,5.33,106.47,0.00,106.47,100.00%,0.00
Collagen Chicken Broth,10005,No category,81.000,433.30,0.000,0.00,14.47,418.83,0.00,418.83,100.00%,0.00
Collagen Pork Broth,10000,No category,141.000,820.80,0.000,0.00,38.86,781.94,0.00,781.94,100.00%,0.00
Creamy Tom Yum,10018,No category,109.000,570.80,0.000,0.00,18.45,552.35,0.00,552.35,100.00%,0.00
Hot Coffee,802,No category,79.000,142.20,0.000,0.00,4.78,137.42,63.20,74.22,54.01%,0.00
Hot Lemongrass Tea,10042,No category,51.000,91.80,0.000,0.00,1.35,90.45,0.00,90.45,100.00%,0.00
Hot Tea,801,No category,140.000,252.00,0.000,0.00,8.73,243.27,112.00,131.27,53.96%,0.00
Lime Juice,10025,No category,113.000,320.80,0.000,0.00,18.77,302.03,0.00,302.03,100.00%,0.00
Luk Choop,10024,No category,3.000,12.00,0.000,0.00,0.00,12.00,0.00,12.00,100.00%,0.00
Mala Minced Pork,10014,No category,100.000,591.00,0.000,0.00,27.33,563.67,0.00,563.67,100.00%,0.00
Mango Sticky Rice,10028,No category,146.000,846.80,0.000,0.00,48.14,798.66,0.00,798.66,100.00%,0.00
Meat Patty,10013,Sides 1,1.000,3.00,0.000,0.00,0.45,2.55,0.00,2.55,100.00%,0.00
Northern Thai Pork Rib,01,No category,437.000,2857.00,0.000,0.00,111.67,2745.33,0.00,2745.33,100.00%,0.00
Red Ruby,3001,No category,72.000,201.60,0.000,0.00,12.74,188.86,72.00,116.86,61.88%,0.00
Rice,10007,Sides 2,130.000,130.00,0.000,0.00,4.65,125.35,0.00,125.35,100.00%,0.00
Sai Mai,10023,No category,87.000,348.00,0.000,0.00,26.60,321.40,0.00,321.40,100.00%,0.00
Stew Chicken Feet,10010,Sides 1,12.000,36.00,0.000,0.00,3.60,32.40,0.00,32.40,100.00%,0.00
Stew Chicken Wing,10011,Sides 1,5.000,15.00,0.000,0.00,0.00,15.00,0.00,15.00,100.00%,0.00
Straw (Set),10038,Products,3.000,30.00,0.000,0.00,30.00,0.00,0.00,0.00,0.00%,0.00
Thai Green Tea,10035,No category,131.000,441.00,0.000,0.00,21.60,419.40,0.00,419.40,100.00%,0.00
Thai Ice Coffee,103,No category,82.000,222.20,0.000,0.00,4.35,217.85,0.00,217.85,100.00%,0.00
Thai Ice Tea,101,No category,812.000,2432.20,0.000,0.00,155.57,2276.63,0.00,2276.63,100.00%,0.00
Thai Lemon Tea,102,No category,97.000,259.20,0.000,0.00,7.85,251.35,97.00,154.35,61.41%,0.00
Thai Stew Chicken,03,No category,182.000,966.60,0.000,0.00,32.58,934.02,0.00,934.02,100.00%,0.00
Tom Yum Gong,10016,No category,273.000,1794.80,0.000,0.00,125.46,1669.34,0.00,1669.34,100.00%,0.00
Tom Yum Pork,02,No category,277.000,1644.60,0.000,0.00,73.66,1570.94,0.00,1570.94,100.00%,0.00
Water (Cold),90001,No category,93.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
Water (Warm),90003,No category,5.000,0.00,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
