Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,74.000,74.00,0.000,0.00,1.36,72.64,0.00,72.64,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,102.000,1203.60,0.000,0.00,12.20,1191.40,0.00,1191.40,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,3.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,90.000,545.70,0.000,0.00,0.57,545.13,0.00,545.13,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,13.000,39.00,0.000,0.00,0.90,38.10,0.00,38.10,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,4.000,32.00,0.000,0.00,0.00,32.00,0.00,32.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,26.000,160.00,0.000,0.00,1.20,158.80,0.00,158.80,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,2.000,6.00,0.000,0.00,6.00,0.00,0.00,0.00,0.00%,0.00
A12. Pad Thai,A12,Dinner @ Sim Lim,1.000,5.50,0.000,0.00,0.55,4.95,0.00,4.95,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,9.000,72.00,0.000,0.00,2.40,69.60,0.00,69.60,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,258.000,1555.00,3.000,18.00,8.99,1528.01,0.00,1528.01,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,47.000,141.00,1.000,3.00,0.30,137.70,0.00,137.70,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,12.000,120.00,0.000,0.00,1.00,119.00,0.00,119.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,390.000,2737.70,7.000,50.00,46.06,2641.64,0.00,2641.64,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,48.000,192.00,1.000,4.00,0.64,187.36,0.00,187.36,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,4.000,32.00,0.000,0.00,0.00,32.00,0.00,32.00,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,72.000,440.10,1.000,6.00,2.51,431.59,0.00,431.59,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,10.000,30.00,0.000,0.00,3.30,26.70,0.00,26.70,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,12.000,96.00,0.000,0.00,0.80,95.20,0.00,95.20,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,218.000,1313.00,0.000,0.00,26.77,1286.23,0.00,1286.23,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,34.000,102.00,0.000,0.00,1.20,100.80,0.00,100.80,100.00%,0.00
A6. Tom Yum Gung (Large),A6L,Spicy Mains,2.000,20.00,0.000,0.00,0.00,20.00,0.00,20.00,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,66.000,465.00,0.000,0.00,12.65,452.35,0.00,452.35,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,2.000,8.00,0.000,0.00,4.40,3.60,0.00,3.60,100.00%,0.00
A7. Tom Yum Pork (Large),A7L,Spicy Mains,7.000,56.00,0.000,0.00,0.00,56.00,0.00,56.00,100.00%,0.00
A7. Tom Yum Pork (Regular),A7R,Spicy Mains,107.000,651.00,0.000,0.00,0.60,650.40,0.00,650.40,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,9.000,27.00,0.000,0.00,0.30,26.70,0.00,26.70,100.00%,0.00
A8. Thai Stewed Chicken Soup (Large),A8L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
