Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
9/30/19,742.20,0.00,2.83,739.37,0.00,739.37,100.00%,0.00
9/29/19,610.90,23.60,4.86,582.44,0.00,582.44,100.00%,0.00
9/28/19,858.20,0.00,6.44,851.76,0.00,851.76,100.00%,0.00
9/27/19,652.00,0.00,34.75,617.25,0.00,617.25,100.00%,0.00
9/26/19,844.80,0.00,45.13,799.67,0.00,799.67,100.00%,0.00
9/25/19,632.10,0.00,35.50,596.60,0.00,596.60,100.00%,0.00
9/24/19,907.50,0.00,18.00,889.50,0.00,889.50,100.00%,0.00
9/23/19,701.30,0.00,42.00,659.30,0.00,659.30,100.00%,0.00
9/22/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
9/21/19,868.50,0.00,80.70,787.80,0.00,787.80,100.00%,0.00
9/20/19,1124.10,0.00,61.50,1062.60,0.00,1062.60,100.00%,0.00
9/19/19,660.40,114.90,23.00,522.50,0.00,522.50,100.00%,0.00
9/18/19,674.60,0.00,32.00,642.60,0.00,642.60,100.00%,0.00
9/17/19,630.90,0.00,35.60,595.30,0.00,595.30,100.00%,0.00
9/16/19,529.70,0.00,39.68,490.02,0.00,490.02,100.00%,0.00
9/15/19,550.70,0.00,10.00,540.70,0.00,540.70,100.00%,0.00
9/14/19,755.30,19.00,11.00,725.30,0.00,725.30,100.00%,0.00
9/13/19,599.30,0.00,32.00,567.30,0.00,567.30,100.00%,0.00
9/12/19,810.90,0.00,46.00,764.90,0.00,764.90,100.00%,0.00
9/11/19,866.70,0.00,1.55,865.15,0.00,865.15,100.00%,0.00
9/10/19,593.80,0.00,1.85,591.95,0.00,591.95,100.00%,0.00
9/9/19,733.30,0.00,5.98,727.32,0.00,727.32,100.00%,0.00
9/8/19,413.00,0.00,3.74,409.26,0.00,409.26,100.00%,0.00
9/7/19,568.20,0.00,2.63,565.57,0.00,565.57,100.00%,0.00
9/6/19,740.40,0.00,3.98,736.42,0.00,736.42,100.00%,0.00
9/5/19,687.50,0.00,0.68,686.82,0.00,686.82,100.00%,0.00
9/4/19,722.10,0.00,0.00,722.10,0.00,722.10,100.00%,0.00
9/3/19,623.40,0.00,0.00,623.40,0.00,623.40,100.00%,0.00
9/2/19,798.20,0.00,9.17,789.03,0.00,789.03,100.00%,0.00
9/1/19,515.30,0.00,1.88,513.42,0.00,513.42,100.00%,0.00
8/31/19,902.30,0.00,1.45,900.85,0.00,900.85,100.00%,0.00
8/30/19,668.20,0.00,1.98,666.22,0.00,666.22,100.00%,0.00
8/29/19,681.50,0.00,0.00,681.50,0.00,681.50,100.00%,0.00
8/28/19,750.90,0.00,0.10,750.80,0.00,750.80,100.00%,0.00
8/27/19,821.60,0.00,0.20,821.40,0.00,821.40,100.00%,0.00
8/26/19,741.70,0.00,3.68,738.02,0.00,738.02,100.00%,0.00
8/25/19,671.70,0.00,7.54,664.16,0.00,664.16,100.00%,0.00
8/24/19,893.90,0.00,0.00,893.90,0.00,893.90,100.00%,0.00
8/23/19,888.80,0.00,103.00,785.80,0.00,785.80,100.00%,0.00
8/22/19,723.00,0.00,27.35,695.65,0.00,695.65,100.00%,0.00
8/21/19,700.80,0.00,0.00,700.80,0.00,700.80,100.00%,0.00
8/20/19,873.40,0.00,31.00,842.40,0.00,842.40,100.00%,0.00
8/19/19,838.10,0.00,1.80,836.30,0.00,836.30,100.00%,0.00
8/18/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/17/19,374.20,0.00,1.23,372.97,0.00,372.97,100.00%,0.00
8/16/19,740.20,0.00,0.00,740.20,0.00,740.20,100.00%,0.00
8/15/19,714.80,0.00,1.28,713.52,0.00,713.52,100.00%,0.00
8/14/19,617.50,0.00,0.50,617.00,0.00,617.00,100.00%,0.00
8/13/19,598.60,0.00,2.35,596.25,0.00,596.25,100.00%,0.00
8/12/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/11/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/10/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/9/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
8/8/19,798.90,0.00,13.07,785.83,0.00,785.83,100.00%,0.00
8/7/19,495.80,0.00,0.00,495.80,0.00,495.80,100.00%,0.00
8/6/19,453.50,0.00,0.45,453.05,0.00,453.05,100.00%,0.00
8/5/19,1034.50,0.00,1.20,1033.30,0.00,1033.30,100.00%,0.00
8/4/19,574.70,0.00,1.53,573.17,0.00,573.17,100.00%,0.00
8/3/19,688.70,0.00,2.40,686.30,0.00,686.30,100.00%,0.00
8/2/19,442.80,0.00,3.20,439.60,0.00,439.60,100.00%,0.00
8/1/19,571.90,0.00,52.65,519.25,0.00,519.25,100.00%,0.00
7/31/19,351.50,0.00,1.68,349.82,0.00,349.82,100.00%,0.00
7/30/19,502.00,0.00,0.00,502.00,0.00,502.00,100.00%,0.00
7/29/19,439.20,0.00,2.50,436.70,0.00,436.70,100.00%,0.00
7/28/19,552.80,0.00,0.00,552.80,0.00,552.80,100.00%,0.00
7/27/19,497.40,0.00,0.00,497.40,0.00,497.40,100.00%,0.00
7/26/19,540.90,0.00,0.00,540.90,0.00,540.90,100.00%,0.00
7/25/19,438.50,16.80,6.23,415.47,0.00,415.47,100.00%,0.00
7/24/19,668.80,0.00,0.00,668.80,0.00,668.80,100.00%,0.00
7/23/19,528.90,0.00,1.87,527.03,0.00,527.03,100.00%,0.00
7/22/19,382.20,0.00,1.88,380.32,0.00,380.32,100.00%,0.00
7/21/19,473.60,0.00,2.96,470.64,0.00,470.64,100.00%,0.00
7/20/19,614.30,0.00,0.00,614.30,0.00,614.30,100.00%,0.00
7/19/19,644.70,0.00,3.70,641.00,0.00,641.00,100.00%,0.00
7/18/19,560.50,0.00,0.00,560.50,0.00,560.50,100.00%,0.00
7/17/19,567.30,0.00,0.00,567.30,0.00,567.30,100.00%,0.00
7/16/19,618.20,0.00,7.10,611.10,0.00,611.10,100.00%,0.00
7/15/19,594.10,0.00,2.29,591.81,0.00,591.81,100.00%,0.00
7/14/19,376.20,0.00,2.71,373.49,0.00,373.49,100.00%,0.00
7/13/19,616.60,0.00,9.63,606.97,0.00,606.97,100.00%,0.00
7/12/19,566.30,0.00,0.00,566.30,0.00,566.30,100.00%,0.00
7/11/19,521.30,0.00,0.00,521.30,0.00,521.30,100.00%,0.00
7/10/19,637.40,0.00,2.33,635.07,0.00,635.07,100.00%,0.00
7/9/19,590.70,0.00,44.80,545.90,0.00,545.90,100.00%,0.00
7/8/19,477.20,0.00,2.39,474.81,0.00,474.81,100.00%,0.00
7/7/19,440.90,0.00,0.00,440.90,0.00,440.90,100.00%,0.00
7/6/19,728.70,0.00,4.76,723.94,0.00,723.94,100.00%,0.00
7/5/19,548.30,0.00,0.00,548.30,0.00,548.30,100.00%,0.00
7/4/19,704.80,7.00,38.59,659.21,0.00,659.21,100.00%,0.00
7/3/19,455.40,0.00,4.95,450.45,0.00,450.45,100.00%,0.00
7/2/19,553.20,0.00,0.00,553.20,0.00,553.20,100.00%,0.00
7/1/19,490.80,0.00,28.20,462.60,0.00,462.60,100.00%,0.00
6/30/19,554.50,0.00,7.34,547.16,0.00,547.16,100.00%,0.00
6/29/19,971.10,0.00,28.55,942.55,0.00,942.55,100.00%,0.00
6/28/19,367.00,0.00,0.00,367.00,0.00,367.00,100.00%,0.00
6/27/19,669.40,0.00,1.80,667.60,0.00,667.60,100.00%,0.00
6/26/19,456.80,0.00,4.04,452.76,0.00,452.76,100.00%,0.00
6/25/19,558.20,0.00,1.03,557.17,0.00,557.17,100.00%,0.00
6/24/19,606.30,0.00,0.00,606.30,0.00,606.30,100.00%,0.00
6/23/19,518.70,0.00,0.00,518.70,0.00,518.70,100.00%,0.00
6/22/19,615.80,0.00,0.00,615.80,0.00,615.80,100.00%,0.00
6/21/19,721.40,0.00,2.34,719.06,0.00,719.06,100.00%,0.00
6/20/19,446.90,0.00,0.00,446.90,0.00,446.90,100.00%,0.00
6/19/19,809.50,25.50,70.10,713.90,0.00,713.90,100.00%,0.00
6/18/19,827.00,0.00,78.07,748.93,0.00,748.93,100.00%,0.00
6/17/19,364.40,0.00,16.90,347.50,0.00,347.50,100.00%,0.00
6/16/19,574.90,0.00,19.40,555.50,0.00,555.50,100.00%,0.00
6/15/19,696.60,0.00,3.44,693.16,0.00,693.16,100.00%,0.00
6/14/19,682.10,0.00,5.32,676.78,0.00,676.78,100.00%,0.00
6/13/19,528.50,0.00,0.00,528.50,0.00,528.50,100.00%,0.00
6/12/19,642.30,0.00,44.50,597.80,0.00,597.80,100.00%,0.00
6/11/19,749.10,0.00,0.00,749.10,0.00,749.10,100.00%,0.00
6/10/19,687.60,0.00,38.34,649.26,0.00,649.26,100.00%,0.00
6/9/19,409.40,0.00,4.95,404.45,0.00,404.45,100.00%,0.00
6/8/19,762.10,0.00,9.47,752.63,0.00,752.63,100.00%,0.00
6/7/19,626.40,0.00,0.00,626.40,0.00,626.40,100.00%,0.00
6/6/19,602.70,0.00,31.09,571.61,0.00,571.61,100.00%,0.00
6/5/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
6/4/19,546.20,0.00,6.52,539.68,0.00,539.68,100.00%,0.00
6/3/19,757.50,0.00,7.00,750.50,0.00,750.50,100.00%,0.00
6/2/19,586.60,0.00,7.80,578.80,0.00,578.80,100.00%,0.00
6/1/19,646.60,0.00,56.63,589.97,0.00,589.97,100.00%,0.00
5/31/19,786.80,0.00,3.55,783.25,0.00,783.25,100.00%,0.00
5/30/19,450.30,0.00,19.00,431.30,0.00,431.30,100.00%,0.00
5/29/19,755.00,0.00,49.86,705.14,0.00,705.14,100.00%,0.00
5/28/19,642.90,0.00,8.49,634.41,0.00,634.41,100.00%,0.00
5/27/19,456.00,0.00,0.00,456.00,0.00,456.00,100.00%,0.00
5/26/19,585.00,0.00,1.24,583.76,0.00,583.76,100.00%,0.00
5/25/19,665.70,0.00,3.86,661.84,0.00,661.84,100.00%,0.00
5/24/19,695.10,0.00,69.88,625.22,0.00,625.22,100.00%,0.00
5/23/19,550.20,0.00,23.50,526.70,0.00,526.70,100.00%,0.00
5/22/19,359.20,0.00,0.00,359.20,0.00,359.20,100.00%,0.00
5/21/19,679.80,0.00,1.26,678.54,0.00,678.54,100.00%,0.00
5/20/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5/19/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
5/18/19,513.30,0.00,0.00,513.30,0.00,513.30,100.00%,0.00
5/17/19,432.00,0.00,6.96,425.04,0.00,425.04,100.00%,0.00
5/16/19,697.00,0.00,2.11,694.89,0.00,694.89,100.00%,0.00
5/15/19,775.70,0.00,6.30,769.40,0.00,769.40,100.00%,0.00
5/14/19,674.10,0.00,3.05,671.05,0.00,671.05,100.00%,0.00
5/13/19,706.50,0.00,69.20,637.30,0.00,637.30,100.00%,0.00
5/12/19,443.70,0.00,27.70,416.00,0.00,416.00,100.00%,0.00
5/11/19,565.20,0.00,11.69,553.51,0.00,553.51,100.00%,0.00
5/10/19,660.70,0.00,5.58,655.12,0.00,655.12,100.00%,0.00
5/9/19,829.50,0.00,30.45,799.05,0.00,799.05,100.00%,0.00
5/8/19,664.90,0.00,63.40,601.50,0.00,601.50,100.00%,0.00
5/7/19,612.30,0.00,0.00,612.30,0.00,612.30,100.00%,0.00
5/6/19,604.10,0.00,26.30,577.80,0.00,577.80,100.00%,0.00
5/5/19,490.40,0.00,2.06,488.34,0.00,488.34,100.00%,0.00
5/4/19,723.70,0.00,5.47,718.23,0.00,718.23,100.00%,0.00
5/3/19,832.80,0.00,20.07,812.73,0.00,812.73,100.00%,0.00
5/2/19,654.90,0.00,1.54,653.36,0.00,653.36,100.00%,0.00
5/1/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/30/19,718.40,0.00,33.73,684.67,0.00,684.67,100.00%,0.00
4/29/19,603.10,0.00,0.00,603.10,0.00,603.10,100.00%,0.00
4/28/19,528.50,0.00,3.00,525.50,0.00,525.50,100.00%,0.00
4/27/19,654.10,0.00,0.91,653.19,0.00,653.19,100.00%,0.00
4/26/19,720.60,0.00,5.56,715.04,0.00,715.04,100.00%,0.00
4/25/19,1041.80,0.00,78.73,963.07,0.00,963.07,100.00%,0.00
4/24/19,632.70,0.00,2.01,630.69,0.00,630.69,100.00%,0.00
4/23/19,716.70,0.00,39.95,676.75,0.00,676.75,100.00%,0.00
4/22/19,585.60,0.00,6.28,579.32,0.00,579.32,100.00%,0.00
4/21/19,738.30,0.00,14.29,724.01,0.00,724.01,100.00%,0.00
4/20/19,870.90,0.00,16.21,854.69,0.00,854.69,100.00%,0.00
4/19/19,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
4/18/19,756.50,0.00,21.19,735.31,0.00,735.31,100.00%,0.00
4/17/19,734.60,0.00,33.23,701.37,0.00,701.37,100.00%,0.00
4/16/19,769.40,0.00,15.34,754.06,0.00,754.06,100.00%,0.00
4/15/19,656.40,6.10,100.45,549.85,0.00,549.85,100.00%,0.00
4/14/19,520.00,0.00,3.26,516.74,0.00,516.74,100.00%,0.00
4/13/19,647.00,0.00,5.95,641.05,0.00,641.05,100.00%,0.00
4/12/19,681.80,0.00,0.00,681.80,0.00,681.80,100.00%,0.00
4/11/19,526.80,0.00,2.70,524.10,0.00,524.10,100.00%,0.00
4/10/19,466.30,0.00,9.35,456.95,0.00,456.95,100.00%,0.00
4/9/19,825.50,9.00,10.23,806.27,0.00,806.27,100.00%,0.00
4/8/19,657.80,0.00,4.94,652.86,0.00,652.86,100.00%,0.00
4/7/19,623.20,0.00,4.45,618.75,0.00,618.75,100.00%,0.00
4/6/19,827.30,0.00,11.87,815.43,0.00,815.43,100.00%,0.00
4/5/19,1011.50,0.00,45.52,965.98,0.00,965.98,100.00%,0.00
4/4/19,793.90,0.00,8.76,785.14,0.00,785.14,100.00%,0.00
4/3/19,649.90,0.00,3.36,646.54,0.00,646.54,100.00%,0.00
4/2/19,816.30,0.00,18.93,797.37,0.00,797.37,100.00%,0.00
4/1/19,846.00,0.00,50.52,795.48,0.00,795.48,100.00%,0.00
3/31/19,571.50,0.00,9.52,561.98,0.00,561.98,100.00%,0.00
3/30/19,991.60,0.00,8.09,983.51,0.00,983.51,100.00%,0.00
3/29/19,1316.00,0.00,1.46,1314.54,0.00,1314.54,100.00%,0.00
3/28/19,594.70,0.00,54.96,539.74,0.00,539.74,100.00%,0.00
3/27/19,828.20,0.00,92.13,736.07,0.00,736.07,100.00%,0.00
3/26/19,724.50,0.00,3.34,721.16,0.00,721.16,100.00%,0.00
3/25/19,882.20,0.00,34.00,848.20,0.00,848.20,100.00%,0.00
3/24/19,945.50,30.40,131.66,783.44,0.00,783.44,100.00%,0.00
3/23/19,718.20,0.00,13.88,704.32,0.00,704.32,100.00%,0.00
