Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
$1 Add on,AO1,Add Ons,62.000,62.00,0.000,0.00,1.09,60.91,0.00,60.91,100.00%,0.00
A1. Premium Tom Yum,A1,Spicy Mains,97.000,1144.60,0.000,0.00,40.57,1104.03,0.00,1104.03,100.00%,0.00
A10. Collagen Chicken Broth (Large),A10L,Non Spicy Mains,5.000,40.70,0.000,0.00,1.88,38.82,0.00,38.82,100.00%,0.00
A10. Collagen Chicken Broth (Regular),A10R,Non Spicy Mains,91.000,546.70,2.000,12.00,12.85,521.85,0.00,521.85,100.00%,0.00
A10. Collagen Chicken Broth (Tasting),A10T,Non Spicy Mains,10.000,30.00,0.000,0.00,0.58,29.42,0.00,29.42,100.00%,0.00
A11. Collagen Pork Broth (Tasting),A11T,Non Spicy Mains,1.000,3.00,0.000,0.00,0.00,3.00,0.00,3.00,100.00%,0.00
A11. Collagen Pork Broth (Regular),A11R,Non Spicy Mains,29.000,180.00,0.000,0.00,5.24,174.76,0.00,174.76,100.00%,0.00
A11. Collagen Pork Broth (Large),A11L,Non Spicy Mains,6.000,48.00,2.000,16.00,0.84,31.16,0.00,31.16,100.00%,0.00
A14. Thai Fried Rice,A14,Dinner @ Sim Lim,1.000,5.50,0.000,0.00,0.00,5.50,0.00,5.50,100.00%,0.00
A2. Creamy Tom Yum (Tasting),A2T,Spicy Mains,28.000,84.00,0.000,0.00,2.29,81.71,0.00,81.71,100.00%,0.00
A2. Creamy Tom Yum (Regular),A2R,Spicy Mains,259.000,1566.00,2.000,12.00,59.06,1494.94,0.00,1494.94,100.00%,0.00
A2. Creamy Tom Yum (Large),A2L,Spicy Mains,10.000,80.00,0.000,0.00,1.91,78.09,0.00,78.09,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Large),A3L,Spicy Mains,9.000,90.00,0.000,0.00,1.00,89.00,0.00,89.00,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Tasting),A3T,Spicy Mains,34.000,136.00,0.000,0.00,2.19,133.81,0.00,133.81,100.00%,0.00
A3. Northern Thai Pork Ribs Soup (Regular),A3R,Spicy Mains,377.000,2646.00,2.000,14.00,80.34,2551.66,0.00,2551.66,100.00%,0.00
A4. Mala Minced Pork Soup (Tasting),A4T,Spicy Mains,7.000,21.00,0.000,0.00,0.54,20.46,0.00,20.46,100.00%,0.00
A4. Mala Minced Pork Soup (Large),A4L,Spicy Mains,2.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
A4. Mala Minced Pork Soup (Regular),A4R,Spicy Mains,69.000,420.00,0.000,0.00,9.60,410.40,0.00,410.40,100.00%,0.00
A5. Thai Bak Chor Mee (Tasting),A5T,Spicy Mains,9.000,27.00,0.000,0.00,0.28,26.72,0.00,26.72,100.00%,0.00
A5. Thai Bak Chor Mee (Large),A5L,Spicy Mains,14.000,112.00,0.000,0.00,3.14,108.86,0.00,108.86,100.00%,0.00
A5. Thai Bak Chor Mee (Regular),A5R,Spicy Mains,172.000,1034.70,3.000,18.00,31.33,985.37,0.00,985.37,100.00%,0.00
A6. Tom Yum Gung (Tasting),A6T,Spicy Mains,2.000,8.00,0.000,0.00,0.41,7.59,0.00,7.59,100.00%,0.00
A6. Tom Yum Gung (Regular),A6R,Spicy Mains,72.000,508.00,0.000,0.00,17.09,490.91,0.00,490.91,100.00%,0.00
A7. Tom Yum Pork (Tasting),A7T,Spicy Mains,7.000,21.00,0.000,0.00,1.07,19.93,0.00,19.93,100.00%,0.00
A7. Tom Yum Pork (Large),A7L,Spicy Mains,9.000,72.00,0.000,0.00,1.79,70.21,0.00,70.21,100.00%,0.00
A7. Tom Yum Pork (Regular),A7R,Spicy Mains,97.000,584.00,0.000,0.00,13.56,570.44,0.00,570.44,100.00%,0.00
A8. Thai Stewed Chicken Soup (Large),A8L,Non Spicy Mains,3.000,24.00,0.000,0.00,1.16,22.84,0.00,22.84,100.00%,0.00
A8. Thai Stewed Chicken Soup (Tasting),A8T,Non Spicy Mains,8.000,24.00,0.000,0.00,0.00,24.00,0.00,24.00,100.00%,0.00
A8. Thai Stewed Chicken Soup (Regular),A8R,Non Spicy Mains,105.000,633.70,3.000,18.00,17.84,597.86,0.00,597.86,100.00%,0.00
A9. Thai Collagen Porridge (Tasting),A9T,Non Spicy Mains,13.000,39.00,0.000,0.00,0.00,39.00,0.00,39.00,100.00%,0.00
A9. Thai Collagen Porridge (Regular),A9R,Non Spicy Mains,35.000,211.00,0.000,0.00,3.74,207.26,0.00,207.26,100.00%,0.00
A9. Thai Collagen Porridge (Large),A9L,Non Spicy Mains,2.000,16.00,0.000,0.00,0.00,16.00,0.00,16.00,100.00%,0.00
B1. Mixed Platter (c. 3 Pax),B1c,Sides 1,21.000,357.00,1.000,17.00,7.95,332.05,0.00,332.05,100.00%,0.00
B1. Mixed Platter (a. 1 Pax),B1a,Sides 1,43.000,301.00,0.000,0.00,8.14,292.86,0.00,292.86,100.00%,0.00
B1. Mixed Platter (b. 2 Pax),B1b,Sides 1,58.000,696.00,0.000,0.00,17.89,678.11,0.00,678.11,100.00%,0.00
B10. Basil Pork,B10,Sides 2,166.000,962.80,2.000,11.60,25.44,925.76,0.00,925.76,100.00%,0.00
B11. Stewed Chicken Feet,B11,Sides 1,19.000,72.20,0.000,0.00,0.59,71.61,0.00,71.61,100.00%,0.00
B2. Pork Skewers (Mu Ping) (a. 3 Pcs),B2a,Sides 1,54.000,313.20,1.000,5.80,7.89,299.51,0.00,299.51,100.00%,0.00
B2. Pork Skewers (Mu Ping) (b. 1 Pc),B2b,Sides 1,45.000,90.00,0.000,0.00,1.48,88.52,0.00,88.52,100.00%,0.00
B3. Thai Fried Wings,B3,Sides 1,13.000,49.40,0.000,0.00,0.96,48.44,0.00,48.44,100.00%,0.00
B4. Grilled Pork Cheek (Small),B4a,Sides 1,142.000,639.00,1.000,4.50,17.35,617.15,0.00,617.15,100.00%,0.00
B4. Grilled Pork Cheek (Large),B4b,Sides 1,40.000,300.00,0.000,0.00,7.25,292.75,0.00,292.75,100.00%,0.00
B5. Lemongrass Chicken (a. Small),B5a,Sides 1,38.000,152.00,0.000,0.00,2.70,149.30,0.00,149.30,100.00%,0.00
B5. Lemongrass Chicken (b. Large),B5b,Sides 1,18.000,108.00,0.000,0.00,1.16,106.84,0.00,106.84,100.00%,0.00
B6. Vermicelli Salad,B6,Sides 2,1.000,5.00,0.000,0.00,0.21,4.79,0.00,4.79,100.00%,0.00
B7. Papaya Salad,B7,Sides 2,72.000,360.00,1.000,5.00,6.98,348.02,0.00,348.02,100.00%,0.00
B8. Spicy Pork Salad,B8,Sides 2,19.000,110.20,0.000,0.00,2.40,107.80,0.00,107.80,100.00%,0.00
B9. Spicy Pork Slice with Lime,B9,Sides 2,8.000,46.40,0.000,0.00,1.73,44.67,0.00,44.67,100.00%,0.00
C1. Aurora (Regular),C1R,Cold Drinks,96.000,366.80,0.000,0.00,17.05,349.75,0.00,349.75,100.00%,0.00
C1. Aurora (Mini),C1M,Cold Drinks,20.000,56.00,0.000,0.00,1.93,54.07,0.00,54.07,100.00%,0.00
C10. Thai Iced Lemon Tea (Regular),C10R,Cold Drinks,21.000,64.00,0.000,0.00,3.29,60.71,0.00,60.71,100.00%,0.00
C10. Thai Iced Lemon Tea (Mini),C10M,Cold Drinks,3.000,6.00,0.000,0.00,0.37,5.63,0.00,5.63,100.00%,0.00
C11. Iced Lime Juice (Regular),C11R,Cold Drinks,22.000,66.00,0.000,0.00,1.72,64.28,0.00,64.28,100.00%,0.00
C11. Iced Lime Juice (Mini),C11M,Cold Drinks,7.000,14.00,0.000,0.00,0.49,13.51,0.00,13.51,100.00%,0.00
C13. Thai Pink Milk (Regular),C13R,Cold Drinks,3.000,9.00,0.000,0.00,0.33,8.67,0.00,8.67,100.00%,0.00
C13. Thai Pink Milk (Mini),C13M,Cold Drinks,1.000,2.00,0.000,0.00,0.25,1.75,0.00,1.75,100.00%,0.00
C14. Hot Thai Tea,C14,Hot Drinks,46.000,82.80,1.000,1.80,3.34,77.66,0.00,77.66,100.00%,0.00
C15. Hot Thai Black Tea,C15,Hot Drinks,7.000,12.60,0.000,0.00,0.21,12.39,0.00,12.39,100.00%,0.00
C16. Hot Thai Black Coffee,C16,Hot Drinks,8.000,14.40,0.000,0.00,1.14,13.26,0.00,13.26,100.00%,0.00
C17. Hot Thai Coffee,C17,Hot Drinks,24.000,43.20,0.000,0.00,0.41,42.79,0.00,42.79,100.00%,0.00
C18. Hot Thai Milo,C18,Hot Drinks,8.000,14.40,0.000,0.00,0.52,13.88,0.00,13.88,100.00%,0.00
C19. Hot Thai Lemon Tea,C19,Hot Drinks,9.000,16.20,0.000,0.00,0.00,16.20,0.00,16.20,100.00%,0.00
C2. Thai Green Tea (Regular),C2R,Cold Drinks,102.000,406.00,0.000,0.00,14.43,391.57,0.00,391.57,100.00%,0.00
C2. Thai Green Tea (Mini),C2M,Cold Drinks,25.000,66.50,0.000,0.00,3.58,62.92,0.00,62.92,100.00%,0.00
C20. Hot Lime Juice,C20,Hot Drinks,5.000,9.00,0.000,0.00,0.00,9.00,0.00,9.00,100.00%,0.00
C21. Hot Lemongrass,C21,Hot Drinks,58.000,104.40,0.000,0.00,2.05,102.35,0.00,102.35,100.00%,0.00
C3. Lemongrass (Mini),C3M,Cold Drinks,33.000,66.00,0.000,0.00,2.33,63.67,0.00,63.67,100.00%,0.00
C3. Lemongrass (Regular),C3R,Cold Drinks,167.000,501.00,2.000,6.00,16.46,478.54,0.00,478.54,100.00%,0.00
C4. Thai Iced Tea (Regular),C4R,Cold Drinks,487.000,1597.00,2.000,6.00,56.93,1534.07,0.00,1534.07,100.00%,0.00
C4. Thai Iced Tea (Mini),C4M,Cold Drinks,78.000,169.00,0.000,0.00,6.25,162.75,0.00,162.75,100.00%,0.00
C5. Pink Soda (Regular),C5R,Cold Drinks,31.000,93.00,1.000,3.00,3.75,86.25,0.00,86.25,100.00%,0.00
C5. Pink Soda (Mini),C5M,Cold Drinks,8.000,16.00,0.000,0.00,1.07,14.93,0.00,14.93,100.00%,0.00
C6. Thai Iced Black Tea (Regular),C6R,Cold Drinks,14.000,42.00,0.000,0.00,1.26,40.74,0.00,40.74,100.00%,0.00
C6. Thai Iced Black Tea (Mini),C6M,Cold Drinks,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
C7. Thai Iced Black Coffee (Regular),C7R,Cold Drinks,3.000,9.00,0.000,0.00,0.00,9.00,0.00,9.00,100.00%,0.00
C8. Thai Iced Coffee (Regular),C8R,Cold Drinks,23.000,70.00,0.000,0.00,1.38,68.62,0.00,68.62,100.00%,0.00
C8. Thai Iced Coffee (Mini),C8M,Cold Drinks,3.000,6.00,0.000,0.00,0.31,5.69,0.00,5.69,100.00%,0.00
C9. Iced Milo (Regular),C9R,Cold Drinks,10.000,30.00,0.000,0.00,1.65,28.35,0.00,28.35,100.00%,0.00
C9. Iced Milo (Mini),C9M,Cold Drinks,2.000,4.00,0.000,0.00,0.00,4.00,0.00,4.00,100.00%,0.00
Crispy Pork,10059,Products,34.000,238.00,0.000,0.00,0.62,237.38,0.00,237.38,100.00%,0.00
D1. Mango Sticky Rice (Regular),D1R,Desserts,8.000,46.40,0.000,0.00,2.80,43.60,0.00,43.60,100.00%,0.00
D1. Mango Sticky Rice (Mini),D1M,Desserts,2.000,4.00,0.000,0.00,0.40,3.60,0.00,3.60,100.00%,0.00
D2. Red Ruby (Mini),D2M,Desserts,46.000,69.00,0.000,0.00,2.77,66.23,0.00,66.23,100.00%,0.00
D2. Red Ruby (Regular),D2R,Desserts,86.000,240.80,1.000,2.80,3.45,234.55,0.00,234.55,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Regular),D3R,Desserts,53.000,212.00,0.000,0.00,4.30,207.70,0.00,207.70,100.00%,0.00
D3. Candy Floss Wraps (Roti Sai Mai) (Mini),D3M,Desserts,35.000,63.00,0.000,0.00,2.94,60.06,0.00,60.06,100.00%,0.00
D4. Mango Sago (Regular),D4R,Desserts,3.000,11.40,0.000,0.00,0.20,11.20,0.00,11.20,100.00%,0.00
D4. Mango Sago (Mini),D4M,Desserts,1.000,1.80,0.000,0.00,0.08,1.72,0.00,1.72,100.00%,0.00
D5. Tapioca (Mini),D5M,Desserts,1.000,1.80,0.000,0.00,0.13,1.67,0.00,1.67,100.00%,0.00
D5. Tapioca (Regular),D5R,Desserts,4.000,15.20,0.000,0.00,0.35,14.85,0.00,14.85,100.00%,0.00
Lime & Chilli Pork,10000,Products,1.000,7.00,0.000,0.00,0.30,6.70,0.00,6.70,100.00%,0.00
Rice Cracker,10049,Products,24.000,144.00,0.000,0.00,1.07,142.93,0.00,142.93,100.00%,0.00
Soft Drinks,SD1,Cold Drinks,16.000,24.00,0.000,0.00,0.44,23.56,0.00,23.56,100.00%,0.00
Water,W1,Cold Drinks,27.000,40.50,0.000,0.00,0.57,39.93,0.00,39.93,100.00%,0.00
i. Half Egg,i,Add Ons,5.000,3.50,0.000,0.00,0.07,3.43,0.00,3.43,100.00%,0.00
iii. Rice,iii,Sides 1,299.000,299.00,4.000,4.00,7.04,287.96,0.00,287.96,100.00%,0.00
xiii. Noodles Soup,xiii,Add Ons,15.000,37.50,0.000,0.00,0.91,36.59,0.00,36.59,100.00%,0.00
